Best individual;(((((((((((40 * (x462 % (((-2 * x215) + (x27 + x606)) + x21))) % -60) + (x18 * ((x516 - ((x405 * (x194 + x111)) % (x449 + (x134 - -60)))) + (x516 - ((x405 * x110) % -60))))) - x507) - ((x405 * x110) % -60)) / ((40 * (x462 % (((68 * ((-39 - x181) / (x237 + x110))) + (x27 + (x449 + (x134 - -60)))) + x21))) % -60)) - ((((x49 + (((-60 + (x516 - ((x449 * x110) % -60))) + ((-74 % ((x111 / x259) + x110)) - x507)) + ((-74 % (((x134 - x59) / (x237 + x110)) + x110)) - x507))) / (x237 + x110)) * (-39 - (x462 % (((68 * ((x432 - x449) / (x237 + x110))) + (x27 + (x449 + (x134 - -60)))) + x21)))) + (x516 - ((x405 * x110) % -60)))) - (((((((-39 - ((68 * ((x84 - x110) / (x237 + x110))) + (x27 + (x449 + (x610 - -60))))) / (x237 + x110)) - ((68 * ((-39 - x181) / (x237 + x110))) + (x27 + (x449 + (x134 - -60))))) - x110) / (x237 + x110)) * ((-39 - (x462 % (((68 * (((x228 * x486) - x449) / (x237 + x110))) + (x27 + (x449 + (x134 - -60)))) + x21))) / (x237 + x110))) + x237)) + (((68 * (((x49 + (((48 + (x516 - ((x604 * x486) % -60))) + ((-74 % ((x111 / x259) + x110)) - x507)) + ((-74 % (((x134 - x59) / (x237 + x110)) + x110)) - x507))) - (17 + ((x190 - (17 + (x229 + (x453 % (x18 + x448))))) * x448))) / (x237 + x110))) + (x27 + (x449 + ((x472 + 58) - -60)))) + (48 + (x516 - ((40 * (x462 % (((68 * ((-39 - x181) / (x237 + x110))) + (x27 + (x449 + (x134 - -60)))) + x21))) % -60))))) + (48 + (x516 - ((40 * (x462 % (((68 * ((-39 - x181) / (x237 + x110))) + (x27 + (x449 + (x134 - -60)))) + x21))) % -60)))) * x486)
Duration;297051
Testset error;2237.774936923966
