Best individual;(((((x49 + ((((((4 - ((-25 % (x587 - (x502 + x50))) * 60)) % x239) * (((x301 - ((-39 % (x94 - -2)) * 60)) % x239) - ((32 * ((x168 + (x555 * x19)) % 5)) + ((8 + ((x238 + 40) - (x477 * 60))) / x25)))) + ((32 * ((x168 + (x555 * (27 + (8 - x105)))) % 5)) + ((8 + ((((-9 + x283) + x587) + 40) - ((-39 % (-25 - x420)) * 60))) / x25))) + x477) + (x301 - (x1 * 60)))) - x168) + (((((((x0 % (((60 - (x49 + (27 + x16))) + (x301 - -11)) - 73)) - x619) + 8) - x4) - x4) + ((32 * ((x168 + (x555 * (((((60 - 44) + (x301 - -11)) - 73) % x239) - x534))) % 5)) + ((8 + (((((x481 + (x326 % (79 + 32))) + (x49 * x469)) + x587) + 40) - ((-39 % (-25 - (x49 + ((12 - x530) + (x301 - x531))))) * 60))) / x25))) + 5)) + ((8 + ((-58 * ((x168 + (27 * ((x449 + (x566 / ((27 * (4 * 60)) + -33))) + 32))) % 5)) + 8)) + ((27 * ((x449 + (x566 / (x555 * ((x0 % x189) - x619)))) + 32)) + -33))) + ((-58 * ((x168 + (x555 * (((x301 - ((-39 % (x555 - x277)) * 60)) % x239) - x619))) % 5)) + ((8 + (((((x481 + (x326 % ((x276 + x4) + 32))) + (x49 * x469)) + x587) + 40) - ((-39 % (-25 - (x49 + (((x202 + x481) - (x391 + 8)) + (x301 - (x1 * 60)))))) * 60))) / x25)))
Duration;292712
Testset error;2287.0050254157513
