Best individual;(((((((((x66 / (x127 + x103)) - ((x183 + x377) + (-34 + x254))) + (x492 - x321)) + (((((((((x600 + x168) + x168) - x321) + x316) / -20) - x254) / x382) + x621) % (x66 / -4))) / x621) + (((x66 / (x452 + ((x254 + (49 / (x234 + (x254 / (x234 + (-4 * 34)))))) / (((((x66 / (x127 + x621)) - ((x183 + x377) + (-34 + x254))) + (x492 - x321)) / -20) + ((x234 + (x254 / x621)) - (x621 + x168)))))) - ((x183 + (((x254 + ((x234 + (x254 / (x234 + x389))) - (x621 + x168))) / x591) + ((x234 + (x254 / x621)) - (x621 + x168)))) + ((x183 + (((x66 / (x613 * ((53 / x183) + (x591 - x452)))) / (x621 + x168)) + ((x234 + (x254 / x621)) - (x621 + x168)))) + x254))) + (49 * (((((80 + (x496 + (((24 / x234) + x621) % (x66 / -4)))) / (((((x66 / x479) / 55) + x316) / -20) + ((x234 + (x254 / x621)) - (x621 + x168)))) + 25) + ((80 + (x496 + (((x460 / -27) / (x613 * -39)) / 55))) / (((((x66 / x479) / 55) + x316) / -20) + ((x234 + (x254 / x621)) - (x621 + x168))))) % x183)))) / (((((x66 / (x613 * ((((((x492 - x321) + x316) / -20) + ((x183 + (x98 - x103)) % x585)) / -20) + ((x234 + x393) - (x621 + x168))))) / 55) + x316) / -20) + ((x234 + (x254 / x621)) - (x621 + x168)))) + 49) * 34)
Duration;282065
Testset error;3091.8972479372756
