Best individual;(((((((((x275 + (x462 * (-17 * (x62 % (((x393 * x262) - x9) * x173))))) + (((x462 * (((x9 * (x620 - x391)) / x51) - (-17 * (x62 % (x587 * x173))))) * x189) % x49)) * x576) * (72 * ((x51 + (x596 + -47)) % x89))) - (72 * ((x51 + (x596 + (x275 + x558))) % x89))) - x9) - x9) + (x51 + (x57 + (x531 - ((((((x290 + (x244 % (((x325 - x567) - x51) * -29))) * x576) * (72 * ((x51 + (x596 + (x275 + x558))) % x89))) - x9) - x51) + (((((x290 + (x596 % (((20 + x180) - x51) * -29))) * x576) * (72 * ((x51 + (x596 + (x275 + (x255 - x244)))) % x89))) - (x9 - (x290 + (x44 - x49)))) - x51)))))) + (x462 * (((x9 * (((x9 * (((x51 + (x596 + (x275 + (x44 - (x516 * x576))))) + ((x51 + (x596 + ((-17 * x68) + x173))) + (((x494 * (72 + x609)) + x275) + x494))) - x189)) + (x462 * x251)) - ((x604 - x273) - x244))) / x51) - (-17 * (x62 % ((x48 + (((-1 * (x584 * x189)) + (x208 + (x262 + 72))) - x89)) * x173))))))
Duration;284458
Testset error;2668.931502145423
