Best individual;((((((((x491 * ((76 - (((((40 * -49) * x156) * ((-23 - x132) * -58)) * 76) + ((x240 - x613) * x492))) % 40)) - ((40 - (x351 + x156)) % 40)) * ((76 - (((((x491 * ((x163 - -53) % 40)) - 40) - ((x240 - x613) * x492)) * -58) + ((x240 - x613) * x492))) % 40)) - (((((((x491 * ((76 - (x76 + x153)) % 40)) - ((40 - (x351 + x156)) % 40)) * ((76 - (((-23 - x132) * -58) + ((x240 - x613) * x492))) % 40)) - 40) - ((x240 - x613) * x492)) - x79) % (53 * x457))) - ((x174 % (40 + (-58 * 56))) * x491)) - x79) % (53 * x457)) + ((((((x491 * ((40 - ((((x174 % (40 + (-58 * 56))) * x491) * x156) + ((((x457 + (x529 + x437)) * 40) * x156) + ((x587 - ((x174 % -59) + (76 + x533))) + 77)))) % 40)) - ((x240 - x613) * x492)) - ((x240 - x613) * x492)) - (((x240 - x613) * x492) + -8)) % (53 * x457)) + ((48 * (40 - x406)) + x485)))
Duration;272466
Testset error;2122.8658513235996
