Best individual;((58 + (((((x102 + (-26 % (x55 + ((-9 / x589) - (11 + x308))))) + x202) - (58 + (-26 % (((-26 % (((((x171 + x110) + x202) - -26) * x102) + (20 - (((x384 * -26) + (x225 - x559)) + x202)))) + -26) + x110)))) % ((x110 % (((((24 + ((58 + (38 + 58)) + 50)) + 20) + x202) - x148) * (x274 - (59 + ((((x210 % ((45 - x586) + (x308 * x448))) + (25 * (53 % (55 * 61)))) + x177) + (58 + (-26 % -43))))))) + (-26 % (((x15 * ((x110 + 25) * x102)) + (x300 + (x369 + 12))) - x171)))) % (x110 % ((((x102 + (-26 % (x55 + (((x100 + (58 + -26)) / ((50 * 38) + x100)) - ((x280 + -26) + (x110 - x410)))))) + x202) - -26) * 58)))) * 58)
Duration;269293
Testset error;2016.4790795419744
