Best individual;(((((((((x624 + ((((((x624 + x10) / (51 + x624)) + x422) + x10) + -27) - x525)) + x10) / (x222 + ((((((x624 / (-12 + x333)) + 29) + x624) / (29 + (x53 + (51 + (x125 + x525))))) - x624) + (29 - (x624 / (x222 + x422)))))) - (x222 + ((((((x624 / (-12 + x333)) + 29) + x624) / (29 + (x53 + (51 + (x125 + x525))))) - x624) + (29 - (x624 / (x222 + x422)))))) + (-27 - (-27 / (29 + (((21 - x294) / (51 + x624)) + 29))))) + -27) - (x10 / ((29 - ((51 / ((-27 - (-27 / (29 + (((21 - x294) / (51 + x624)) + 29)))) + x624)) + 29)) + x422))) - (((51 / ((-27 - (x624 / (x53 + ((((x10 / (29 + (x53 + x10))) - x624) + (29 - (x624 / (x222 + x422)))) + x10)))) + x624)) + x333) + x153)) + (29 * (51 + (((x624 / (x53 + x10)) + x333) + x153))))
Duration;296692
Testset error;2164.800519733075
