Best individual;(x494 * ((((x494 + (((((((x451 % ((x494 + (x395 + x435)) + x494)) % (((x412 - x435) * 5) + x316)) * ((x494 % ((x435 - x442) + 11)) * (x451 + x15))) / ((x412 - x435) * 5)) / (-33 - x435)) * (5 % (42 + (x395 + x43)))) - x412)) + (((((((5 % (42 + x142)) % ((-44 * 5) + x316)) * ((x494 % (-26 + 11)) * (x451 + x15))) / 5) / (-33 - x435)) * x322) - (x615 % x599))) + (x451 + x15)) + ((((x494 + (((((((5 % (42 + (x395 + x43))) % (((x412 - x435) * 5) + x316)) * ((x494 % ((x435 - x442) + 11)) * (x451 + x15))) / 5) / (-33 - x435)) * x322) - (x615 % x599))) + (x425 / (-39 * 5))) + (x600 - ((x301 % (x599 + 11)) + x316))) + (x599 + 11))))
Duration;298117
Testset error;9734.895824848527
