Best individual;(((((((x177 * (((((((x392 % (x406 + x392)) + x474) + (((x534 * 14) + x177) % x474)) % (14 * x392)) + 23) + 14) + x392)) % 14) * 23) + 66) + ((x177 * (((((-48 + (((14 * 23) + x392) * 14)) * 14) + x177) % x474) + x392)) + x392)) + (((((((((((x392 % (x177 + x392)) + x474) + ((((-48 + x278) * 14) + x177) % x474)) % (14 * x392)) + 23) + 14) + ((x177 * (((((-48 + (-48 * 14)) * 14) + x177) % x474) + x392)) + x392)) * (14 * 23)) % 23) * 14) + 14)) + (((((((((((x392 % (x177 + x392)) + x474) + ((((-48 + x278) * 14) + x177) % x474)) % (14 * x392)) + 23) + 14) + ((x177 * (((((-48 + (-48 * 14)) * 14) + x177) % x474) + x392)) + x392)) * (14 * 23)) % 23) * 14) + 14))
Duration;284184
Testset error;2262.2892765984952
