Best individual;((((((x49 + ((x49 + (46 + ((((((x289 + 56) + x201) + ((-3 - x0) + (46 + x329))) + 9) + ((x49 % (x0 + (x201 + x198))) + 46)) + 46))) + ((-3 - x0) + (46 + x329)))) + (((((((x329 * ((46 % x49) * x403)) % x49) + x403) + x49) + (x0 + (((x0 * ((x264 - -3) % 9)) % x49) + 9))) + (46 + ((((((x289 + 56) + x201) + ((-3 - x0) + (46 + x329))) + 9) + ((x49 % (x0 + (x201 + x198))) + 46)) + 46))) + ((-3 - x0) + (46 + x329)))) % ((((((x329 * (9 * (x49 % (x0 + ((x49 * x130) + -3))))) % x49) + (x329 * ((46 % x49) * x403))) + (46 + ((((x242 + 46) + 9) + ((x49 % -5) + 46)) + 46))) + (x0 + (((x0 * ((x264 - -3) % 9)) % x49) + 9))) + x201)) + (x329 * ((46 % x49) * x403))) + (46 + ((((((((((x329 * ((46 % x49) * x403)) % x49) + x403) + x49) + (x0 + (((x0 * ((x264 - -3) % 9)) % x49) + 9))) + (46 + ((((((x289 + 56) + x201) + ((-3 - x0) + (46 + x329))) + 9) + ((x49 % (x0 + (x201 + x198))) + 46)) + 46))) + ((-3 - x0) + (46 + x329))) + (-3 - x0)) + ((x49 % (x0 + (x201 + (((x0 + ((x0 % (46 + x472)) + x0)) % x49) + x0)))) + 46)) + 46))) + ((((((((x329 * (9 * (x491 % -3))) % x49) + x403) + (46 + ((((x242 + 46) + 9) + ((x49 % -5) + 46)) + 46))) + (x0 + (((x0 * ((x264 - -3) % 9)) % x49) + 9))) + (46 + ((((((x289 + 56) + x201) + ((-3 - x0) + (46 + x329))) + 9) + ((x49 % (x0 + (x201 + x198))) + 46)) + 46))) + ((-3 - x0) + (46 + x329))) + 9))
Duration;304172
Testset error;2266.678955117269
