Best individual;(((((((((((x132 + ((((x76 + x195) + (x170 * 35)) / ((-49 / x604) * 35)) * (x223 + 4))) * 4) * x296) + (x296 + (x358 + 35))) + ((x451 + ((x33 + x182) * x538)) * 4)) + x296) / ((((((((x451 + ((x33 + x182) * x538)) * 4) * x296) + 35) + (35 + 35)) / (((((((x132 + 43) * x451) * x538) + 35) + x296) / ((x451 + x296) * x451)) * 35)) * x451) + x132)) * (35 + 35)) + 35) + ((35 + 35) * x451)) + ((((((((x132 + ((((x296 + (x358 + 35)) + (35 + 35)) / (((-49 + x296) / (x302 * x451)) * 35)) * (x223 + 4))) * 4) * x296) + 35) + (35 + 35)) / (((((((x132 + 43) * x451) * x538) + 35) + x296) / ((x451 + x296) * x451)) * 35)) * (35 + 35)) + 35))
Duration;297040
Testset error;5855.138156997718
