Best individual;((((((((x102 / (x102 / (x15 - (72 + ((((x15 + x142) / x591) + x486) + ((x486 / (x360 - x102)) + x102)))))) + ((x102 / ((((x486 + (72 + (x395 + x343))) + x486) / (((x591 + x486) / x455) - -13)) - x102)) + x146)) + x146) + (x102 + (((x102 / (-13 - x486)) + ((x102 / ((((x486 + (72 + x559)) + x486) / x591) - -13)) + x146)) + 44))) + 74) / x455) - -13) * (x486 + (74 + (x102 / (((x591 + x486) / x455) - -13)))))
Duration;295929
Testset error;2091.5079248180814
