Best individual;(((((((((x210 - ((x502 - (((x256 - (x310 - x608)) - -23) - (x494 - ((x345 + x416) - (x346 - 65))))) / (x502 - ((x210 - (-62 * x196)) - x502)))) - (x502 / x502)) + x464) - (x494 - ((((x210 - ((x502 - ((x502 - 38) - (x494 - -62))) / (x502 - ((x210 - x346) - x502)))) + -88) + x196) - (x346 - 65)))) - (((x531 - (x494 - (((x210 - (((x127 + x384) - (x346 - 65)) / ((x210 - x575) - x502))) + (-62 - ((x502 - (-62 - x406)) / x502))) - x502))) - ((((38 - ((-62 - ((x502 - 65) - x526)) - x210)) - ((((x345 - x75) + (-62 - x536)) - ((x75 + x464) * x210)) - (x494 - ((x345 + x416) - (x346 - 65))))) / (x502 - ((x210 - (-62 * x196)) - x502))) - x502)) - (-62 - (34 - -88)))) - (-62 - (x494 - (((x210 - ((x502 - ((((-62 - x502) + (-62 - x536)) - ((x75 + x464) * x210)) - (x494 - ((x345 + x416) - (x346 - 65))))) / (x502 - ((x210 - (-62 * x196)) - x502)))) + (-62 - ((x502 - (-62 - (x494 - (-62 - (34 - -88))))) / x502))) - x502)))) / x502) - (((x210 - ((x502 - ((((x210 - ((x502 - (-62 - (x494 - x502))) / (x502 - ((x210 - x608) - x502)))) + (-62 - ((x502 - (-62 - (x494 - x625))) / x502))) - ((((x502 / ((x256 - x531) - x502)) - (x502 / x502)) + x464) * x210)) - (x494 - (((x210 - ((x210 - (-62 - 41)) / (x210 - (-62 * x196)))) + (-62 - ((x502 - (-62 - -23)) / x502))) - ((38 - ((-62 - (x302 - x78)) - x210)) - (-62 - 38)))))) / (x502 - ((x210 - (-62 * x196)) - x502)))) + (-62 - ((x502 - (-62 - (x494 - (-62 - ((((x502 / (x502 - x310)) - 38) + x502) - (x502 / x210)))))) / x502))) - ((((x502 / (((x502 - ((x210 - (-62 * x196)) - x502)) - (-62 - ((x502 + x464) - (x502 / x210)))) - x502)) - (x502 / x502)) + x464) * x210))) - (x494 * (-62 - (x600 / x502))))
Duration;302960
Testset error;8998.736643910186
