Best individual;(((((-24 % ((((((-24 % x263) - -24) - ((-24 * (((-24 % (x462 - 45)) % 30) - (-60 * ((-46 % -24) - x263)))) % -24)) - (((((((x521 - 30) - -24) % -60) - x263) - x263) * -24) % (((56 + x96) / x549) - 30))) * ((-24 % -60) - x263)) - ((((((-60 * (((x505 - x28) % -24) - x263)) % x263) - x263) / -24) - ((-24 % (x444 - x19)) - x462)) - -24))) - x462) - ((-24 * (((-24 % (x462 - (-60 + -60))) % 30) - (-60 * (((x505 - x549) % -24) - x263)))) % -24)) - ((((((((((x462 % -60) - x263) / -24) - 30) - -24) % -60) - x263) - x263) * -24) % (((56 + x96) / x549) - 30))) * ((-24 % -60) - x263))
Duration;295612
Testset error;5825.424419657565
