Best individual;((-24 * ((((x393 % (x117 / ((((-65 - ((((x38 + -65) - x117) * x566) / (x117 * (x117 - x393)))) - (x117 / ((((x20 * x310) % -24) + x117) - (x117 * x566)))) - ((-24 - 20) / (x210 * x393))) / ((((((-24 * (x405 % x602)) % -24) + x117) - (x117 * x566)) - 22) * x393)))) * (x393 % ((((((x117 * (22 * (x210 * (x150 + 4)))) % -24) + x117) - (x117 * x566)) - ((x338 * ((x210 * (x117 * x566)) * (((x117 * (28 * 1)) % -24) + x117))) - -11)) / (x210 * x393)))) + (((-65 - ((((-65 - (x393 / (x117 * ((26 + x147) - (x117 * x566))))) - (x117 / ((((x20 * x310) % -24) + x117) - (x117 * x566)))) - ((-24 - 20) / (x210 * x393))) / ((((((-24 * (x405 % x602)) % -24) + x117) - (x117 * x566)) - 22) * x393))) - (x117 / ((((x20 * (22 * ((x117 * -24) + x393))) % -24) + x117) - (x117 * x566)))) - ((((((((x117 * (22 * (x351 * x566))) % -24) + x117) - (x117 * x566)) - 22) - (x117 * x566)) - (x104 - (-24 * -24))) / (-29 * 38)))) + x566)) + (x117 * x566))
Duration;299230
Testset error;5949.183863505522
