Best individual;((x480 * (((64 + ((x608 / (((((64 + (((26 / x271) * 50) + -70)) + 11) + x480) % -63) * x608)) * 50)) + (64 / (((x608 + (((((((x608 + x608) % (-70 + x608)) / x271) * 50) + ((((x608 % -63) / (64 + -25)) * 50) + 64)) / 11) + (11 + -70))) + x520) % ((64 + (((x608 * ((64 + ((x539 / 64) + (11 + -70))) + x520)) / x66) + (11 + (64 + (((16 % (x368 + 22)) / x271) * 50))))) + (16 % (x368 + 22)))))) + x480)) + 16)
Duration;294066
Testset error;2146.288246393002
