Best individual;(((x287 * (x282 * ((x49 + ((((71 + (((((x357 % 72) + x49) / -11) % x49) * ((x282 + x608) / -11))) % ((x49 + x608) / -11)) + ((((x6 * (x357 % ((x49 + x612) / -11))) + x331) + (((x171 + ((x396 + 71) * x492)) + x608) + x356)) * (((x357 % (((x287 + 32) + x608) / -11)) - x603) % (x537 + -11)))) % (x49 - x357))) + (((x49 % ((x171 + ((x282 + x608) / -11)) - x505)) + ((((x6 * (x357 % ((x49 + (x357 + x333)) / -11))) + x331) + (((x171 + (((x357 % 72) + 71) * x492)) + x608) + x356)) * (((x357 % ((((x568 + -16) + (x6 + x356)) + x608) / -11)) - x603) % (x537 + -11)))) % (x49 - x357))))) + (x49 - x357)) + (((x171 + (((x357 % ((x49 + x608) / -11)) + 71) * x492)) + x608) + x356))
Duration;298935
Testset error;2197.2228588479593
