Best individual;(((((x587 + (((((x587 + (x208 + (x587 + (x208 + ((x208 + x512) / 40))))) / x263) / ((x208 + ((x208 + (x208 + ((x426 + 5) / -20))) / (x587 + ((x610 + (x610 + 0)) + x208)))) + -20)) + ((x610 + ((x208 + (x208 / (((x194 + -20) + x208) + ((x587 / x610) + x194)))) + ((x208 / (x208 + ((-15 + x208) + -20))) + x587))) + x194)) + x587)) + (((40 + (x208 + ((x208 + ((x208 + (x590 / -20)) + (x208 / x263))) + x208))) + -20) + ((x208 + ((x208 + (x194 / (x610 + (x194 + x194)))) + -20)) + x208))) * 40) + ((x208 + (x208 / (((x194 + -20) + x208) + ((x587 / x610) + x194)))) + ((x208 / (x208 + ((-15 + x208) + -20))) + x587))) / (x208 / x9))
Duration;289240
Testset error;5842.34952748673
