Best individual;((((((x295 + (((31 % (x85 - ((x529 % (6 % (x96 - (23 + x148)))) + x270))) + x270) % ((x270 + (((6 % (x459 - ((x214 % x475) + x270))) * x459) * x96)) - (((((31 % (x85 - (23 + x270))) + x270) % x96) * x475) - (((x96 % (x270 + ((x276 * x459) * x96))) - (6 % (x625 - ((x150 % -19) + x270)))) - x616))))) % x96) * x459) - x96) + ((((((31 % (x85 - ((x529 % (6 % (x96 - ((69 % 6) + x270)))) + x270))) + x270) % x96) * x475) - (((x96 % (x270 + (((6 % (x96 - ((31 % 6) + x270))) * x459) * x96))) - (6 % (x625 - (((((((x96 * x214) - x85) - x433) * x7) + ((6 % (x625 - x85)) * x459)) % (x529 - x433)) + x270)))) - x616)) + 31)) * 12)
Duration;299717
Testset error;2229.345370996557
