Best individual;(69 * ((x625 * ((-10 + ((x272 * (((((x67 % ((x0 + (x67 * 4)) + (x246 + (69 / 11)))) / 69) * ((x84 * ((x608 + x156) * (x333 % x104))) * x608)) + (x272 * ((((x555 / (x333 + -10)) * x608) + x608) + x246))) + x246)) + x625)) % ((x555 + ((-9 * (x246 + (69 / (((x84 * ((x608 + x156) * (x333 % x104))) * x608) + ((x272 * ((x407 + x608) + x246)) + ((1 / -10) * (x333 % (69 / 10)))))))) / ((x608 * (-9 + x608)) + x608))) + ((x272 * ((x272 * ((((x555 / (x333 + -10)) * x608) + x608) + x246)) + ((1 / -10) * (x333 % (69 / (1 * 1)))))) / ((x608 * (-9 + x608)) + x608))))) + x67))
Duration;291743
Testset error;2277.632092047869
