Best individual;((((((x99 % (x459 - (x98 - (x619 % ((((((x619 - x459) * x459) * ((x7 + 12) - 9)) - (((12 - x619) * x459) * x9)) - (41 - (x98 - ((85 + x99) % 23)))) * x459))))) + ((((((((12 - x619) * x459) * x9) - 41) - (41 - (x98 - (((41 - (12 - 23)) + x99) % 23)))) * x459) - x619) % (((41 - x619) - (((x459 + (((12 - x619) * x459) * x9)) % 23) + 23)) * x459))) + (((41 - x619) * x459) * x9)) + ((((((x98 + x99) + (41 - (x98 - 9))) * x404) + 12) - 9) - ((41 - ((x404 % ((x450 + x459) / x187)) - 9)) - 9))) - ((41 - (((((41 - x619) - (((x459 + (((12 - x619) * x459) * x9)) % 23) + 23)) * x459) - x619) - 9)) + x99)) + (((23 + (((x459 + (((12 - ((x61 - x513) - (x187 + 23))) * x459) * x9)) % 23) + 23)) % 9) + ((((((((12 - x619) * x459) * x9) - 41) - (41 - (x98 - (((41 - (12 - 23)) + x99) % 23)))) * x459) - x619) % (((41 - x619) - (((x459 + (((12 - x619) * x459) * x9)) % 23) + 23)) * x459))))
Duration;292656
Testset error;2080.2652720634737
