Best individual;(13 * (59 - ((((((((13 * (x162 - (-43 - 26))) % (((13 - (((x374 - x428) - 65) + (59 - 26))) - x162) - 65)) * 65) + (x188 * (65 - (((13 - (((x32 - x428) - 65) + (59 - 26))) - x162) - 65)))) % (((13 - ((((13 * x45) - x428) - 65) + (59 - 26))) - x162) - 65)) - ((-43 % (x188 * (-43 - (((13 - (((-33 - x565) * x39) + ((x92 * x39) + (x227 - 65)))) - (x188 * (x162 - ((x158 % x167) - x428)))) - (x529 + x41))))) % (x188 * (x162 - (((((((x500 * x68) - (x529 + x41)) - 65) * x39) + (((13 - (94 + x565)) - x162) - 65)) % x167) - x428))))) - 65) + ((-43 % (x188 * (65 - (((13 - ((((13 * x45) - x428) - 65) + (59 - 26))) - x162) - 65)))) - x146))))
Duration;294648
Testset error;5848.211116663878
