Best individual;((((((((x174 * ((12 * (60 + (60 % (x49 + (60 + (12 + 12)))))) * x418)) + (60 % (x49 + ((x193 + x156) + (12 + x79))))) + x193) % x174) % (12 + 60)) + (((((x193 * (((12 + ((((-56 + x95) + x193) % (12 + (x49 + 12))) * x174)) * ((60 + (x174 + x174)) + x393)) * x418)) + 60) + x193) % x174) % (((12 + (((((x193 * (((12 + 34) * (-17 + x393)) * x418)) + 60) + x193) % x174) % (12 + (((x95 % (12 + (x95 % (12 + -50)))) % (12 + (((x174 * x127) % (12 + x507)) + 12))) + ((60 + ((12 % x507) + x174)) * x418))))) + (12 + (((((x174 * ((12 * (-56 + x393)) * x418)) + 60) + x193) % x174) % (12 + 60)))) * 60))) + (12 + (((((x174 * ((12 * ((60 + ((x174 * (98 * x418)) + x507)) + x393)) * x418)) + 60) + x193) % x174) % (12 + 60)))) * 60)
Duration;299735
Testset error;2213.3200068457277
