Best individual;(((((((((((x197 * (((x277 + (x149 * -59)) * x277) + ((x149 + x146) * 56))) + (x277 * (x20 + (x20 + ((x197 + x341) * 56))))) * ((((((x277 * x163) + (x277 * x514)) * x341) * ((x277 * x277) * x20)) + x149) * x20)) * x341) + (x277 * x277)) * x20) + x20) + x146) + (x20 + (((x495 + (x277 * (x115 + ((x277 + ((x277 + ((x277 * x108) + (28 * x74))) * x20)) + ((x149 + x146) * 56))))) * x20) * ((x277 * x277) * x20)))) + (((((((((x495 + (x277 * (56 + x388))) * x20) * ((x20 * ((x17 * x277) + (28 * x74))) + (((x495 + x239) * x20) * ((x277 * x277) * x20)))) + (x277 * (x20 + (x20 + ((x197 + x341) * 56))))) * x341) * ((x277 * x277) * x20)) + x149) * x20) + x20)) + (28 * 56))
Duration;298045
Testset error;2101.6446600239497
