Best individual;(((62 + ((x441 + (((62 + ((62 + (((x529 + ((-63 + x441) + 62)) + (x131 + ((x443 + x537) + x341))) + 62)) + (x131 + (x542 + (x131 + (((x532 + 62) + (62 + -19)) + x341)))))) + (((x131 + (x542 + (x131 + (((x74 + 62) + (62 + x601)) + x341)))) + 62) + 62)) + x144)) + 62)) % ((x529 + (x441 + (x131 + (((x144 + ((x529 + (x441 + ((x131 + (x443 + x341)) + ((61 + -28) + x341)))) + (x131 + ((((x131 + x232) + -46) + (62 + x211)) + x341)))) + (x131 + 62)) + x341)))) % (62 + ((x140 + 62) + 62)))) + (((((62 + ((62 + (62 + (x144 + (x144 + ((x441 + (62 + (62 + x144))) % x529))))) + (x131 + (x542 + (x131 + ((((x441 + (62 + x144)) + 62) + (62 + ((x140 + 62) + 62))) + x341)))))) + (2 + x245)) + 62) + (62 + ((x140 + 62) + 62))) + ((62 + ((x4 + (x131 + 62)) + (x131 + (x542 + (x131 + ((((x441 + (62 + x144)) + 62) + (62 + ((x140 + 62) + 62))) + x341)))))) + (2 + x245))))
Duration;298254
Testset error;2121.2693022365866
