Best individual;(((39 + (((((((((x25 * (x19 - ((x316 - x131) / (x147 - -44)))) - x422) - (x163 / (((x157 / x189) + x157) + (x462 / x599)))) - ((x189 + ((x189 + ((x462 * -52) - x189)) * (((x422 - 24) - x25) - ((x189 + x128) / 29)))) / (x189 + (-4 * x99)))) - x480) - ((x189 + (-4 * x99)) / 29)) / ((((x19 * x302) - x480) - 39) - ((x189 + (-4 * x99)) / 29))) + ((((((x19 * x302) - x480) - 39) - ((x189 + (-4 * x99)) / 29)) * (x25 - (((x205 - x189) * x422) / 29))) / 29)) / x422)) + (((x163 / (((x157 / x189) + x157) + (x462 / x599))) + x157) / (x462 / 39))) * 39)
Duration;296472
Testset error;2460.0900171161616
