Best individual;((x585 - ((((x352 * (((10 - ((x585 % ((((10 - x585) - x364) * 10) - x585)) * 10)) - x364) - x364)) + 10) % 10) * ((((x469 % (x285 % ((((x469 % (((x585 - 3) - x18) % x447)) + 10) % ((10 - 10) - x469)) * 10))) + 10) % ((10 - 10) - x469)) * 10))) + (((((((x469 % (((10 - (((x364 % (10 - x585)) * 10) * 10)) - ((x585 % ((10 - (x352 * x364)) - x585)) * 10)) - x364)) + ((10 - (x258 * x364)) % ((x585 - ((x585 % (x116 - x585)) * 10)) - x18))) * 10) - (x285 % ((x585 - x585) - x469))) + x469) * 10) + (x585 - ((x285 % ((x585 - x585) - x469)) * 10))))
Duration;291334
Testset error;5890.056397498778
