Best individual;((((((((((x132 + (((x132 + ((x132 + x553) - x596)) + x132) - x596)) % (59 + (59 + ((x124 + x553) + 59)))) + (59 + ((x132 + ((((x83 + 59) + (x553 + 58)) + 59) + x553)) % ((x132 + (((x181 + 59) + x132) - x596)) % (59 + (59 + ((x124 + x553) + 59))))))) + x81) + (x553 + (x361 + ((x132 + ((((x212 + -23) + (x213 + x515)) + x132) - x596)) % (59 + (59 + (((x157 - 59) + x553) + 59))))))) + 59) + (59 + (((((((x581 + x132) + 59) + x81) - (x596 - x157)) + x581) + (((x553 + x358) + 59) + x361)) + (59 + 59)))) + (((((x553 + (59 + ((x132 + ((((x164 + x81) + (x610 + x361)) + x132) - (x596 - x157))) % (59 + (59 + (((x157 - 59) + x553) + 59)))))) + ((x81 % (x214 + x81)) - x581)) + x229) + ((x553 + x553) + 59)) + ((59 + (((((((x581 + x132) + 59) + x81) - (x596 - x157)) + x581) + (((x553 + x358) + 59) + x361)) + (59 + 59))) + 59))) + (59 + (((((x538 + x361) - (x596 - x157)) + x581) + (((x553 + x358) + 59) + x361)) + (59 + 59)))) - (((x81 % (x214 + x81)) - x581) - (x214 * ((x553 + x553) + 59))))
Duration;302040
Testset error;2060.558134884308
