time;testset error
358482.0;2083.3882465200786
312112.0;1938.3104733204768
330118.0;2113.5835244542423
314981.0;5856.218244079416
316149.0;1913.992467442113
332675.0;1898.100654417676
309956.0;1946.9774018279502
308870.0;2037.0440826713768
333125.0;2044.2979631888427
311933.0;2028.5986305063418
313174.0;1973.8416540014152
296700.0;1889.3160264288615
347046.0;2082.880502220832
347345.0;1973.9897541705443
338286.0;1893.2041014279835
324923.0;1963.1067443231882
313755.0;2011.064234407842
356990.0;1923.1901744384845
360845.0;1962.1997662298802
316759.0;2786.2116005178823
322510.0;1980.2956980524104
315965.0;2280.4873880200903
299479.0;2206.7349931120834
352417.0;2027.25171406978
352093.0;2039.2263664045342
312864.0;1958.0502967049922
309944.0;1914.8351783680714
368761.0;1992.9047766477488
317340.0;3929.1201533967146
320825.0;2035.046377783559
