time;testset error
304172.0;2266.678955117269
292656.0;2080.2652720634737
300494.0;1962.8593174336363
297040.0;5855.138156997718
296696.0;2100.8686712024078
298254.0;2121.2693022365866
290631.0;2201.572138561348
296472.0;2460.0900171161616
295612.0;5825.424419657565
298935.0;2197.2228588479593
292424.0;2023.2058381473253
302960.0;8998.736643910186
291334.0;5890.056397498778
298117.0;9734.895824848527
299717.0;2229.345370996557
301207.0;2313.6735586535933
290200.0;2151.2068404830297
294066.0;2146.288246393002
299313.0;2007.8679126049772
294648.0;5848.211116663878
298045.0;2101.6446600239497
295929.0;2091.5079248180814
291743.0;2277.632092047869
299230.0;5949.183863505522
289240.0;5842.34952748673
284184.0;2262.2892765984952
302040.0;2060.558134884308
296692.0;2164.800519733075
299735.0;2213.3200068457277
293888.0;2127.295185540224
