Best individual;(42 * (((x54 + ((((-30 + (17 % ((42 % ((((x139 - x526) / -69) * 1) - -81)) % (-36 * ((-11 * ((x45 * -51) / x482)) + ((-6 / (13 - x556)) / -5)))))) + x260) * (x594 / ((-41 / (x592 - (-20 + ((6 % ((62 / -61) % -50)) % x54)))) + (93 / (x584 % (32 + ((-81 * ((x553 / -39) % -38)) * 9))))))) / ((-18 * ((((55 - (-46 % ((42 + (-18 % 67)) + ((6 / x54) % 34)))) * x537) % (37 - 14)) - (((x531 + ((-11 / 7) + 85)) / -8) + 39))) + (-57 / (-48 % (-17 % ((-30 * ((4 / -69) * 1)) - 60))))))) / ((x537 / (53 - (((((62 / ((((51 + 5) - -15) + 70) + ((-10 / (21 + 0)) % x482))) * x594) / 10) * ((62 - (x482 + (82 + (14 - (49 % (-75 * x183)))))) + -15)) / ((42 % ((((-51 - (-95 % 2)) + -75) + x78) % 75)) / -15)))) + x556)) - -35))
Duration;11399389
Testset error;2316.786113048021
