Best individual;((((((x577 + x602) + (((((-64 / ((x516 + (-77 * 8)) % ((((0 - x457) + 39) + -17) + -11))) * x98) + (x74 + (((50 - -59) * -55) * x119))) * ((x577 / 31) * x450)) + (((-56 + ((((((x517 * -29) * x0) / 32) + -6) * ((-36 - (-20 - (43 * x361))) / ((79 - (x598 * 22)) % 77))) % ((x98 + (x519 + (x618 - (x114 * 10)))) * ((-64 / (-4 * -14)) / -8)))) - (-28 - -63)) + ((((-82 - (x519 / (93 - ((49 * -36) - -56)))) / (-80 + (((-40 + -20) + (x74 * (x161 % 42))) * ((30 + 11) % -47)))) + (((2 - ((-25 - (x618 - x350)) * ((-30 + x619) - (x603 * 53)))) + (((13 % (x435 + x238)) - -22) * 36)) / (x516 % (((x563 / 2) + (51 + (-10 + x119))) * ((x577 * 28) + x450))))) - (-73 - (x598 * 43)))))) / (((66 - (-28 - (x602 + ((((((27 - -39) - -55) - x119) - x159) % -58) * -30)))) + 7) + x238)) - 23) + (((((-64 / ((x516 + (-80 * 86)) % ((((0 - (-16 - (x456 / x98))) + 39) + -17) + -11))) * x98) + (-43 + (((-36 - -44) + 34) + x119))) * ((x577 / 31) * x450)) + (((-52 + ((((((((8 * 84) + 8) * -29) + x0) - 32) + -6) - ((x98 % (x519 - (43 % ((35 * -68) * 31)))) / ((79 % (28 * 18)) % 77))) % ((x98 + (x519 + (-11 + ((55 * 16) * 31)))) * ((-64 / (-48 * -10)) % 51)))) / (56 + -50)) + ((((13 - (27 - (1 - ((-72 * ((8 * 9) * -27)) + -43)))) / (-80 + (((-40 + x9) + (x74 / (((-45 % 11) * 52) + 57))) * ((27 % 11) + 24)))) + (((9 - ((-25 - (x618 - ((-93 + 11) / -29))) * ((61 + ((19 % x113) * x616)) + ((29 + 17) * 59)))) + (((x250 * (((x500 - -47) + 43) + x238)) - -29) + 88)) / (x516 + (((x563 * x9) + (x74 + (((14 + 77) - 67) + x119))) * ((x577 * -1) + x450))))) - (11 + (x598 * 27)))))) + (((x612 + (x602 + ((((((1 + (12 * ((x519 * (x563 + x144)) * (x443 + 20)))) * 56) + 80) + -32) * x260) % ((x98 + (x519 / (-7 - ((5 - x159) / -52)))) + ((-64 / (x598 * 22)) % 5))))) + (8 * 71)) * x9))
Duration;12786033
Testset error;2024.854295571219
