generation;fitness;time
0;2311.2752921736933;7852
1;2099.6896318437043;15875
2;2222.416722747092;24503
3;1950.7831856434032;33639
4;2128.71410543124;42282
5;1942.8331825095395;50368
6;2133.8754496189113;57819
7;1942.8331825095395;66455
8;2074.2792548437865;74837
9;1940.877493159165;83582
10;2127.444098996464;92583
11;1940.877493159165;101227
12;2125.985952993523;110196
13;1942.0242435791627;119048
14;2122.8846821881884;128257
15;1922.5161906341077;136864
16;2061.0067982049727;145868
17;1922.5161906341077;154640
18;2060.9848367396658;164249
19;1918.755612935977;174483
20;2060.9112057578595;185618
21;1914.6804995803736;196944
22;2062.1954843634667;207927
23;1903.8019034952808;219544
24;2066.9647694169753;231321
25;1901.4614748818117;243972
26;2059.864542045625;256603
27;1900.6782388155614;269952
28;2051.1946379538226;283237
29;1888.3867570533005;297376
30;2034.962594955053;311914
31;1871.7562100306288;326922
32;1999.9469870713965;342428
33;1844.8459369149018;358592
34;1991.6699133160168;374860
35;1823.9570658565972;390596
36;1983.5178749322677;407051
37;1787.0715557113297;421271
38;1983.0890867582248;438084
39;1836.4316206012002;455628
40;1969.5130114819713;473009
41;1829.3667962825264;489735
42;1970.0608035729883;506076
43;1825.3776066669864;522171
44;1969.8527223921385;539709
45;1791.4080784588632;557815
46;1959.4853478577888;575873
47;1781.6490287154504;594431
48;1936.674846316875;613054
49;1785.180477053774;631061
50;1934.638623946055;648362
51;1719.9892536809848;666517
52;1941.8047102514718;682808
53;1718.9560507247481;700348
54;1940.3193612329417;718709
55;1750.280754874416;738750
56;1940.0230233633954;759942
57;1739.9222310018224;785016
58;1957.0190569691083;805064
59;1803.5687859439033;822527
60;1957.0120502271661;839594
61;1784.6238465196332;854421
62;1942.7188100277158;871966
63;1821.1086398408077;889970
64;1939.9058868096433;908338
65;1826.688575256505;924585
66;1963.6255963100007;940978
67;1824.9255240836676;957652
68;1963.6025681627427;975755
69;1824.9863108585669;993855
70;1959.9172343731218;1012318
71;1824.9863733699374;1030530
72;1959.753209621926;1048628
73;1824.9863440208783;1066578
74;1962.5175131148558;1084753
75;1818.5165107907314;1102445
76;1959.654877124013;1119084
77;1817.21311475018;1136587
78;1956.9224991738338;1154637
79;1817.2304101548323;1172488
80;1958.3874441470325;1191633
81;1817.4196682127115;1206447
82;1958.130602486571;1224315
83;1818.20200460218;1243142
84;1960.7602512678716;1260081
85;1819.135774946212;1278857
86;1923.4982247425123;1296089
87;1819.0499786090033;1313787
88;1921.76498660909;1330891
89;1819.0095369067847;1348410
90;1921.6252038051778;1366097
91;1818.1051673294335;1384589
92;1912.772016607897;1402826
93;1818.0799851600996;1421465
94;1924.5682367036698;1439624
95;1818.0800138770114;1458199
96;1925.7224161696902;1476036
97;1818.4349970046042;1492421
98;1925.722644246869;1510153
99;1818.2754409361976;1529368
100;1925.7226019101504;1547244
101;1830.7558761932967;1565474
102;1924.4702110796445;1584253
103;1830.6821870371105;1602762
104;1925.7384513219558;1620709
105;1830.6213992147975;1639423
106;1958.9845175493392;1657954
107;1724.9332458314555;1677440
108;1959.2728647767394;1695735
109;1720.7216267231454;1714549
110;1949.3782527059977;1733119
111;1828.1236311341825;1752215
112;1964.7024334546898;1770534
113;1832.0332980809337;1788609
114;1961.0801599960444;1805983
115;1833.3337489621763;1822606
116;1959.0680867815577;1841027
117;1833.2697214072955;1856475
118;1955.5400372828135;1874874
119;1833.1930968789834;1892699
120;1936.2563234194972;1910152
121;1830.1861882598978;1929357
122;1955.3095066332469;1948113
123;1830.588038648933;1964395
124;1957.4260370985749;1982900
125;1829.899835575791;2000045
126;1956.4077027000292;2018510
127;1825.3141833269426;2037752
128;1972.8466041684158;2055751
129;1819.6687337487733;2072477
130;1971.5920039164364;2091672
131;1802.1375657058338;2107156
132;1967.447073137103;2126355
133;1819.577085638459;2143569
134;1951.3928444272356;2160430
135;1828.9180375152296;2179252
136;1949.1204057418574;2198523
137;1820.0263583972107;2216352
138;1949.085784988386;2234950
139;1810.5096389147939;2253743
140;1949.0937542391814;2272932
141;1811.3530432112289;2291675
142;1949.09362325385;2308595
143;1804.964201314145;2327683
144;1949.0937863523238;2346344
145;1803.552512930266;2365536
146;1948.6668118799575;2384406
147;1804.7644138770388;2403601
148;1949.2795458834362;2422680
149;1810.0825775726169;2441352
150;1949.24640585523;2460318
151;1806.945681140978;2480128
152;1949.2670332093094;2499169
153;1807.91292485709;2517156
154;1949.108410169575;2537612
155;1806.8746517158713;2554274
156;1949.0225061854965;2571176
157;1807.632464742855;2590065
158;1949.2988458296868;2609951
159;1816.185490286194;2629285
160;1949.2970186055536;2648547
161;1815.4556238050034;2667582
162;1949.2707565565875;2686308
163;1815.852289414692;2703920
164;1948.4235379448162;2719784
165;1716.9334297975572;2738358
166;1949.1135259180257;2755129
167;1816.1575567292666;2772256
168;1949.0357719759006;2790235
169;1794.2001845305044;2810317
170;1949.2869829833062;2828941
171;1794.341638512432;2847153
172;1946.4852166641242;2865842
173;1711.3679731026864;2884538
174;1946.9565883461971;2903301
175;1711.2443552701566;2922845
176;1950.790389160954;2942693
177;1818.0261376485262;2961818
178;1948.3684941931365;2980760
179;1817.5697562216287;3000222
180;1958.585028669294;3019235
181;1803.767123313522;3037777
182;1943.1722211828805;3057400
183;1815.4835702441414;3078082
184;1943.8232289884845;3096320
185;1814.683174761261;3115812
186;1958.3309341719323;3136518
187;1814.4094809171863;3153998
188;1958.340876472414;3173161
189;1811.6479691989184;3191911
190;1956.3202366434555;3210970
191;1811.6479518951705;3230598
192;1956.3985350617768;3249736
193;1817.621646615369;3269598
194;1957.2138268375936;3288287
195;1789.3977250088972;3306392
196;1956.8304936727498;3324282
197;1794.3108911553088;3342239
198;1957.8925381195766;3360649
199;1794.1511449474972;3379128
200;1957.8435502511193;3398620
201;1794.1511449474972;3416733
202;1957.588364646331;3435796
203;1794.1660360523558;3452736
204;1949.9252764617345;3471692
205;1791.4056878646254;3490899
206;1949.0948667726573;3509539
207;1813.0811957235128;3529797
208;1949.0955208683893;3548949
209;1809.0755893083;3566428
210;1949.3991886823374;3583187
211;1809.0889998490773;3603288
212;1931.57244535077;3622929
213;1806.2577684959597;3640740
214;1949.8479101948633;3660552
215;1708.182386914042;3678393
216;1943.699771940386;3696261
217;1814.494448030326;3716786
218;1933.6750352921938;3734788
219;1813.8732720884973;3754555
220;1933.9360454367177;3773871
221;1707.8782967885431;3794570
222;1938.0722855740867;3813369
223;1709.5627873044184;3832842
224;1946.5477651639803;3852818
225;1776.8536173665436;3872386
226;1916.2765514108446;3891566
227;1786.2704352489377;3911769
228;1936.4511744427432;3930771
229;1803.1285536585253;3950623
230;1951.724593241264;3969770
231;1725.7340112150273;3988241
232;1938.2751702001758;4006394
233;1808.301339258347;4024725
234;1938.274598240492;4044170
235;1822.2712450999936;4064263
236;1937.0465818152236;4083909
237;1724.077443227458;4104808
238;1929.595090216309;4122261
239;1791.038917583207;4140642
240;1927.6280785834024;4159369
241;1791.044949274047;4179729
242;1835.5786592511804;4197411
243;1790.9172033669217;4216287
244;1922.4349238030852;4235714
245;1790.9136172582491;4253463
246;1919.8905589429623;4271377
247;1790.9177615755993;4291166
248;1927.1980597706886;4310704
249;1790.9177084893709;4329793
250;1927.9167381251498;4349331
251;1873.369799186935;4388756
252;1873.0612615232099;4427142
253;1873.0612615232099;4466428
254;1868.6560286135941;4504816
255;1868.6560286135941;4543923
256;1868.6377801500996;4581768
257;1868.6377801500996;4619790
258;1868.6039641151792;4658013
259;1868.5520363342835;4695199
260;1868.5520363342835;4734384
261;1867.4850671020524;4772377
262;1867.4850671020524;4810458
263;1867.4850671020524;4847825
264;1861.5726195891914;4886009
265;1861.5726195891914;4924769
266;1861.5726195891914;4962805
267;1861.5726195891914;5001860
268;1861.5726195891914;5037712
269;1860.9231750696963;5075714
270;1860.6711040096402;5113306
271;1860.6331413416026;5151208
272;1860.6331413416026;5189772
273;1860.6331413416026;5226886
274;1860.604079352062;5266094
275;1860.604079352062;5302994
276;1860.5913406091208;5341074
277;1859.7788570296127;5379945
278;1859.3203475843725;5416984
279;1858.690486735663;5455981
280;1858.6880848457297;5493988
281;1858.6880848457297;5532344
282;1858.1229641846185;5569847
283;1858.1229641846185;5608031
