Best individual;((x595 + ((((((-8 / ((-6 + ((38 + (((x281 + 15) * 22) + ((-18 * -19) + (10 * -1)))) % x595)) % -6)) + ((((((-16 - ((33 - 78) - (77 - -53))) % (-17 * -31)) % 5) * (((68 - ((38 + x485) * -51)) + (((1 / -35) + (-9 + 87)) / -8)) / (((31 * (31 / -9)) - 27) % 48))) - (((-66 + (34 % -44)) + -16) / 10)) / 67)) - (((-48 - (((53 - (-22 - (-41 / (-59 + x112)))) + (((11 - (-49 + -18)) / 32) * 55)) * x489)) / (((((((-28 * 8) / (-8 % 13)) - 46) + (4 * -55)) / -28) * (16 / 67)) * -37)) / (((x190 - (x517 - -40)) / 17) * -47))) + ((8 * 71) - 68)) * 16) / ((x595 - (((((((8 % (((x522 + 89) * 78) / ((-27 * -9) / -13))) % (58 + -5)) - -33) % (((-48 + (((x582 / 59) % (-10 % -6)) + -51)) / ((((x445 - 41) % 15) + (-75 * 22)) * -11)) + (((-39 - (67 / 33)) / 15) - 23))) - (((63 * (40 % -30)) - -16) / 30)) % 16) / (((((30 - (39 / 76)) + 29) + (71 - 6)) % (-18 * x489)) * -20))) + (19 * (38 + (((((-22 + (14 + (x149 + (46 + (55 + x111))))) + x336) + x582) + ((-1 + ((43 + (29 + (-7 + (30 / 59)))) + 38)) - -50)) / -8)))))) + (19 * (38 + (((((-13 + (14 + (x149 * (30 + (55 + ((32 + 34) - -36)))))) + -27) + -5) + ((-6 + ((43 + (29 + (26 + ((8 * 71) - 14)))) - 19)) - -15)) / x15))))
Duration;12959074
Testset error;4393.4535011007665
