Best individual;(((((((x248 + (x181 % (x181 + (((15 + (((x587 * -9) + x534) % 47)) / (40 - 16)) % -17)))) * -27) * (((-12 * 52) + (-11 + 15)) + 46)) + (26 % (((21 * 18) / 11) * ((45 * -18) - -56)))) % (-7 * ((-61 - (-72 - 51)) - -12))) % ((((3 + (((((41 + (-56 - (((x238 + x510) / (40 / 16)) / -9))) - 23) + -29) / ((-9 + 11) - 74)) + -15)) * 25) + (58 + 15)) + (((41 * (((x248 + (((43 + ((36 / (-19 + -15)) + ((-37 / 34) % (-6 + -16)))) / ((-75 * (-45 - (-41 / 45))) - 25)) % (((((x248 * x225) * 55) % ((12 + 89) / -46)) + (x579 + ((x366 / -55) % (-35 % 51)))) * (-84 * ((-16 - (48 / 11)) / -12))))) % -33) % (((42 - -50) + (19 % 68)) - 38))) + (x579 * (((4 + ((-59 % ((-14 / -26) - -8)) + ((-31 - 21) - ((55 + -45) + -48)))) * ((-11 * (x181 + ((x238 * 77) % -20))) % 54)) % (((((9 * (x181 % -7)) * -27) / (((-27 * 64) + (-11 - -47)) + 46)) + (1 - (((41 * -37) / -29) / ((-9 + 11) + 74)))) + (-12 * ((22 - (-21 % 51)) + -25)))))) + (((-11 + (26 + (((15 * ((8 + x577) % 14)) / (40 - 16)) % -17))) * 25) % (((-1 * -50) + (-15 - 42)) / 85))))) + ((((4 + (((x248 - (((-47 + ((-46 % ((-11 / 27) + 87)) + ((-9 + 34) % ((-15 + 28) - 29)))) + ((-38 + (x181 + ((x238 + -70) / 45))) * 25)) % (((((x248 + (-48 / -26)) * -27) % (((-27 / 52) % (-16 - 15)) % 13)) + (x579 + (((35 % x615) / -1) % ((83 % 25) * 74)))) + (-2 + ((24 - (-13 / 51)) / -12))))) % -33) % (((19 * -2) * (-12 * 16)) + 20))) + (7 / (((-1 + ((39 % ((-64 / 5) / 56)) + ((-33 / 34) + ((-37 + 31) + 13)))) / ((-58 / (x181 + ((x238 * -8) % 40))) * 16)) % (((((x248 + (x181 % -7)) / -27) / (((-12 * 52) + (-11 + 15)) - 46)) + (26 % (((-21 * 18) % -29) * ((87 * -18) + -86)))) % (-7 * ((-37 - (20 - 51)) - -12)))))) + (((x248 + (x181 + (((15 + ((15 + x577) * 25)) + (90 * 16)) % -20))) * 25) % (((x47 * 52) + (-15 * 15)) + 74))) * 24))
Duration;13583031
Testset error;2267.075115423342
