Best individual;((((((((50 - (((20 * ((40 + ((14 + x186) / -26)) + ((65 / x15) + 14))) * ((24 / ((15 + (-7 / 80)) % -6)) - -40)) * (x470 / (x209 / ((((18 * x331) - -41) % (3 / -31)) * -2))))) - (50 - (((((x83 % ((-5 + 19) / 61)) / 29) - -34) + 14) / (x209 / ((-14 + (4 + ((x209 % -59) * -1))) + 11))))) / (55 % (x470 / (x209 / ((14 / (29 / (((3 - x280) + (-22 + x193)) * 8))) + 11))))) + (((64 * (7 + 23)) % (((-37 * ((15 + ((x494 * x265) + x208)) % x585)) + -15) / 8)) - 90)) - x209) + ((-71 + (-29 + ((-16 + (32 * ((((40 % ((34 + 7) + -30)) % ((5 / -1) / 14)) - x190) + (59 * 38)))) / ((((55 + (((32 % (59 / -10)) / -10) / (-73 % ((x81 % -60) + -24)))) % (((x595 % (24 * -63)) % ((-60 + x7) + (71 - 0))) + 51)) + ((x594 / -2) + x280)) + -6)))) + (((32 * (-45 + 45)) % (((20 / ((-9 + ((2 / (17 % x61)) + 17)) % x585)) + -61) / -29)) + 59))) + (((64 * (7 + 23)) % (((-37 * ((32 + ((x494 * x265) + x208)) % x585)) + -48) / 8)) - 59)) + (-61 + (32 * 33)))
Duration;12135721
Testset error;2012.150946627399
