Best individual;(((((((((57 / (((x0 * (((54 + 19) + (54 / 90)) / (-42 - (58 - -45)))) / (-42 * (-25 / ((19 * x584) - 55)))) - (48 + ((45 + (36 + (-42 - x379))) * -21)))) * ((69 - (-46 * (-1 / (((12 - -42) - (x584 % 58)) - 12)))) * (4 + -10))) * (72 / (((-31 * (4 - ((x501 + (-38 * 10)) / (-45 + (36 / -51))))) / (-45 + (x0 + (((0 * x197) - -83) * x391)))) - (x275 - 54)))) + (-42 - (-30 - ((23 * (45 + (59 + ((x118 + (0 * x497)) - (x275 + -41))))) - 32)))) - x197) / x257) + (((((((-37 * ((52 / -21) % -46)) / (15 + (20 + x619))) / ((42 + (-35 - (29 + 66))) - (-70 + 26))) + (-1 % (((-31 * (32 - x257)) % (59 * (13 - -49))) - (x275 - 8)))) / (-42 * (16 / ((19 - (45 + (-30 + 60))) - 55)))) % -84) / 42)) + -7) + (((((x183 + ((x0 + (((61 * (69 - ((x280 + (58 + 79)) / (x584 + (-21 + x619))))) + 19) / x391)) - (9 - 52))) + -64) - (-59 + (-7 + -6))) + (((((83 - ((x280 % x209) + 12)) + x194) % 2) % -45) + x168)) - x197))
Duration;13156475
Testset error;2003.927249957146
