Best individual;((((((((-79 / (45 / ((61 * x54) % -24))) + ((23 % -13) / (71 - 85))) % ((-46 * (-58 * (32 - (-49 + ((((-38 % -56) + 39) + 32) / 7))))) - ((53 + -65) % (-8 * 25)))) / ((-3 * (-58 / (32 - (-4 - ((((-71 - -18) * (-6 + -8)) % ((-32 % -40) / (x480 * -2))) * (((x415 - -65) % -45) * -5)))))) / ((-18 + -65) % (-8 * 25)))) + ((((((((x146 * ((81 % (7 * x288)) + (91 - -65))) + 15) / x99) * 91) + ((23 / ((36 % (-18 + ((5 + x186) % -4))) - ((43 % 12) % (48 % 76)))) - -8)) / x99) * ((((x468 + 29) + -18) + 16) + 43)) - ((15 / (19 + ((38 / ((-79 / (45 / ((61 * x54) % -24))) + ((23 % -13) / (71 - 85)))) + -1))) * -68))) - ((((((32 - 10) + 67) / ((16 / -6) + (53 / -34))) / -28) - ((((53 * 15) / x99) * -40) / ((-38 / (18 + 27)) - -2))) / -80)) - ((91 + -65) * (17 + -68))) + (((((((((-24 % ((((x303 + 45) % -31) - 94) + -94)) - x99) / ((((((-45 - -2) * (19 - 16)) * 4) * (((-4 / -34) - -45) * -5)) / ((-31 % (-40 + (-22 - 5))) + -72)) % (-28 + (-3 + (11 + -39))))) * (23 - 20)) + (((((x146 * ((x209 - (-56 % 33)) * (6 - 19))) - -5) - 9) * -53) + ((-9 % ((-46 - (x290 * ((-62 * -39) / -43))) / ((-18 + -65) % (48 % 25)))) * 92))) / -8) / -4) + ((((((((x146 / ((81 % (24 * 19)) + (91 - -70))) * -25) / x99) * 91) + ((55 / ((-53 * (-53 + ((-8 + x186) + 16))) * ((71 % -65) * (22 * -87)))) - -6)) / x99) * ((((x468 * 38) / 8) % -11) + 43)) - ((3 - (19 % ((17 + ((-79 / (45 % ((61 * x54) % -71))) + ((23 * -13) / (-3 - 85)))) % -1))) / -20))) / ((((((32 - -22) + 67) / ((x21 % -12) + (-66 / 40))) * 91) + ((((x209 * 15) - -61) % 34) * ((-16 / (18 + 38)) / -21))) / -59)))
Duration;13069347
Testset error;2227.796417544281
