Best individual;((((((((((45 - (((-73 % (-40 % (18 + 46))) - x128) / 31)) / (-37 - (47 + (-43 + (((-26 * x588) + (-31 - x316)) + 50))))) * (12 - ((47 - (-70 % (7 % (-48 / (76 + -22))))) % (85 + ((((26 - 18) * 11) / (-14 / (-89 / -4))) % -10))))) - ((((-13 % -9) % 5) * (68 - (35 + 43))) / -65)) + ((((-38 * (-6 * x128)) - x523) / 6) / 31)) / (((((-26 - (21 + ((-61 - ((-10 * 2) - (51 - -57))) % -9))) / (71 - ((x593 % (48 - (-60 * (-68 + 41)))) + (2 * (((42 / 11) - (20 % -16)) - 4))))) / (55 - ((47 - (-53 % (-20 + (-20 / (-71 / 31))))) + (85 + ((((70 % -71) % 57) / (-2 % (-34 + 9))) % 27))))) * (((((((6 * (-66 - 36)) / -47) % 8) * -48) / 43) + ((-12 * 90) / (-27 / -4))) - (-42 - ((20 - (-23 - (65 - (49 / (-15 + 72))))) * (19 % ((((x429 * 67) + 5) - (19 % (-31 + 43))) - 27)))))) + ((((36 + (42 * x128)) - -33) % -13) / 31))) + 78) + (((x149 * x464) + (72 + 32)) + 57)) * x588) + ((1 - (-37 - (66 + (44 + ((((x429 * x211) * x588) + (-1 - (-34 * 43))) + 50))))) / x523))
Duration;13107294
Testset error;2841.971462507736
