Best individual;(((((27 * 50) % (((x555 * (x570 % (((x456 * (x570 % (((-23 + x211) % 14) + 2))) + x298) - -23))) + (45 + ((((((x509 - ((-47 + -6) + (22 * 67))) + x589) - (45 / (-23 - x8))) * x474) % (45 - (-23 * x8))) % (-3 - (-23 - x8))))) + -37)) * (x570 % (((((((((x509 - ((-47 / -61) + (-11 * 67))) + x298) - -23) + (((-31 % (8 + (x583 - 2))) % 14) + (x456 * 67))) + x270) + 61) * ((76 / (((x126 % 45) + 2) + 50)) % 47)) / -54) + 39))) * x596) + ((29 * 52) + 38))
Duration;7665069
Testset error;1964.1852224344339
