Best individual;(((x479 * (78 % ((x260 + (-26 - (58 % ((((((-7 + (30 % -11)) * 20) - 44) / ((((33 * 30) - 73) + ((87 + 20) * (5 - 68))) % ((16 + -47) / ((-34 - -52) * -13)))) % ((x183 % -36) - ((-62 / 29) / 51))) * (((((-56 + (8 + 9)) * -52) + ((x183 - 7) * ((13 % 29) / 20))) - ((36 % -22) / ((44 * 60) + 18))) / 20))))) * -4))) - ((-62 + (((7 + -81) * x569) - (25 - (x67 + 31)))) * (44 % -16))) + (-71 % ((x260 % (66 - (58 * (((((-57 % ((-4 * x534) - 6)) % 38) * ((((29 * 4) + 23) / ((x183 + 34) + (-77 - -21))) - ((4 % -18) - ((-18 + 38) - -1)))) % ((-12 - 51) + ((40 - -33) / 57))) + (((((-7 + (8 % 34)) * -44) + ((81 / 28) - ((-31 / -58) + -2))) * ((-50 + 23) + ((43 + 8) / 61))) + -1))))) * -4)))
Duration;12467671
Testset error;2092.003337460677
