Best individual;(((((54 / (((18 + ((-27 + ((x95 - (((x181 * -65) / x584) - 9)) - ((-40 - 72) * -79))) * -1)) % (-2 * (-5 + ((19 / (x5 + (((31 + -36) % (x479 - 4)) * ((-34 + 29) + 90)))) + 21)))) / 3)) + -29) + (((8 - ((x414 - -92) % (30 / 24))) - -26) % -78)) + (30 + ((8 + ((((((((((x119 + x402) + -29) / (70 + -49)) * x0) / x584) % ((5 % ((21 / -28) - -40)) - -22)) * (-12 + -10)) - (43 + x2)) / (((-6 + ((52 - 25) - (8 + -43))) - -29) % x514)) + (((((((((x497 + -54) + (x5 + x102)) * 63) / x584) % ((x245 - ((8 / x55) + -40)) + 47)) * (x479 + x251)) - (x129 + x2)) + (((63 - ((x414 - -92) + (30 - 24))) % -26) % -78)) + ((((42 + (42 * (30 + ((x95 - -34) - -14)))) + 8) / (x69 + 21)) * 47)))) - -14))) + (x0 + (((((((32 % (65 * ((((41 / (-5 + -9)) - ((-76 - 72) % -79)) / (-16 + ((63 + 10) % (-39 % 25)))) * 64))) / -51) + x584) + x479) % -39) * 36) + 84)))
Duration;13134180
Testset error;1997.0070123724886
