Best individual;(((((x324 / (((-54 / (32 / (((((x286 % (68 + -79)) / ((x476 + -9) % (42 * -13))) + x54) + -9) % (45 * -88)))) + (-23 + (46 % ((((-41 / (0 - (-13 % -87))) - (-8 * ((22 + -32) - (33 + -55)))) + (x324 + x54)) % -30)))) % (45 % ((29 - (-76 % (51 * (-73 / (18 + ((37 + 4) * -20)))))) / x494)))) % (-54 + ((27 + (38 * (51 + (23 / (-4 / ((57 % -31) / -20)))))) * 8))) / -2) + ((x249 * 13) * 60)) + ((((x476 * (68 + (((9 / (9 - ((x324 / ((85 + -9) % (45 * -88))) * ((x249 * 11) * 60)))) + (x324 + x54)) + 41))) + (x476 * (68 + ((((-7 - (-10 * ((55 / -23) - -20))) / (x481 - ((((x83 + -73) % (23 * 29)) + 68) - ((x249 + 11) + 60)))) + (x324 + x54)) + 41)))) % (38 + ((29 + (44 % (-7 * (-18 - (27 * ((-24 % 66) % 21)))))) * x494))) - 80))
Duration;12853492
Testset error;2005.4347197491318
