Best individual;(22 * ((((40 * (((((71 + (((((89 / 55) - (62 * 59)) * x285) * -3) / 74)) - (-48 / (((((17 - 20) % 8) * 25) / (-60 * (-46 + -29))) - 65))) % -66) + ((-44 / 46) + -73)) + (23 * (((((x567 * ((55 * (x73 + 21)) - -28)) * 11) / ((28 * x285) + 45)) + 49) + (x479 % ((-87 - (74 % -12)) + 13)))))) / ((21 * x285) + 69)) + 40) + (((82 * (((((73 * ((-3 - (((12 + 36) % (-46 + x279)) % -65)) * 54)) / (78 / (((((-53 % -1) + -35) + 17) / (81 + (63 - 19))) + -44))) % 14) + ((((((((4 + 13) % (74 % -71)) * -5) + 33) + 43) * (-11 + ((((29 / 69) - (52 % 59)) * 9) * 45))) * (15 * (((((4 + 46) / -57) % -58) - (74 + (62 % 19))) + -34))) - -27)) % (64 / (((((-12 * ((-23 / (x73 + 68)) * 26)) / -13) - ((-34 * x285) + 6)) % 49) % (-16 + ((-1 * (55 - 32)) + x567)))))) / ((-28 % 26) % -74)) / -42)))
Duration;13027244
Testset error;1959.302959451629
