Best individual;(((((((((51 % (x186 + (((((-17 - -7) / x183) + (-29 - (-7 - 35))) / -45) + ((((24 / 47) - (25 * 68)) + ((-67 - -49) % -2)) - 50)))) + (-20 + x244)) / x183) + (47 + ((x244 % 1) - -18))) * x140) % (((13 - (-17 * ((((((-46 % -74) + 61) - 2) + (48 + ((x244 % 1) - -18))) % -45) - -48))) + 20) + -51)) + (((42 + (((-2 / (((x439 + (x188 + ((79 % 25) * -50))) * (x467 * -11)) + (((((x456 + x170) + -8) * (-35 + (-42 - -32))) - -45) * 4))) / 55) % 69)) + ((-81 / (-42 % (((x193 + (((28 + (-70 + x477)) - 29) * -23)) / (-2 + (61 + 29))) * (-32 / (((1 + -50) + -5) + -77))))) + ((15 + (74 % 54)) + ((x235 + 41) * 5)))) / ((55 % (x100 + (((23 + ((x193 - ((x183 / (29 + x284)) * (x594 + -3))) + (x518 % (61 * 70)))) * x107) + x171))) % (86 % (((x107 * x183) + (74 + (x467 - (18 * x195)))) - x594))))) + (((((-54 / (x183 / (((-51 / (x188 - (((81 + -13) % x71) + -4))) * (2 * 68)) + (((((-9 * (16 * x551)) + -74) + (76 % (x343 / 14))) - 30) % -2)))) + ((x140 + (-43 - 35)) + ((38 / 9) * 19))) - (((92 + (61 % ((((((15 + 17) + x71) / 58) + (-45 + ((x244 - 30) + 68))) * -15) - -84))) + 64) + -38)) + -8) + x146)) + (66 * 23))
Duration;12996027
Testset error;29824.133705495286
