Best individual;((((((((((((-48 - (((30 + 16) / (x533 % -2)) + 35)) + ((x217 + 76) * 17)) + ((4 - ((-1 % -9) / 15)) - (((-17 / 18) + 18) % 68))) + ((-36 - ((((3 / 21) + 54) / ((x339 * -46) - x335)) + 8)) + (-12 - (-7 + 8)))) / x605) - 35) + (((((((43 - -33) - 21) + ((49 * -27) % (x219 + 68))) / -3) % ((-32 - ((-5 * -8) * 26)) * (((-58 / -16) - -40) * -33))) / ((26 % (((1 * -65) % (-2 + -1)) + -33)) / (((-10 * 80) - 19) - -16))) - ((61 + (((-6 / 93) - -9) * ((-2 % -79) * -3))) + (4 + 19)))) + ((-48 - ((((-36 - 20) % 33) / (((((-38 / (-58 + 56)) - ((53 % 20) - 7)) - ((11 + -80) - -67)) + ((x377 % ((-1 + -76) + 47)) / (((-6 / 28) / 2) % 68))) % -2)) + 22)) - (-12 + (-7 % 25)))) / x605) + (((((((-28 - 20) + -38) + ((53 * -44) % (-10 + 68))) + 53) + ((-59 - ((-5 + 56) * 26)) / (((61 * 6) - -40) * -33))) % ((-12 % (((0 - -73) - (-2 / -1)) + -33)) + (((15 * 13) - 19) / 20))) + ((-29 * (((-6 / -43) % -38) - ((40 % -74) * 30))) % (-12 + 19)))) / x605) + (x93 * ((50 + 65) * x589)))
Duration;12672856
Testset error;2059.508454751584
