Best individual;(((((((x71 - (((((-38 - (((-20 + x169) + -16) - -1)) % 9) + -8) % 68) + -1)) * 18) + (((39 - x542) + -1) / 1)) % ((-34 + ((32 * ((45 / (-8 + (-1 - (-23 / (-15 - 37))))) - ((-6 - 25) % -66))) + -51)) * (((((-23 - ((x117 % (((-20 % 29) % (2 - -8)) + ((59 + -20) / -6))) % ((-44 % -6) * -27))) % ((x589 + 10) - -41)) + -29) - (((31 / 40) / 21) * -45)) % (((((((48 + ((-24 + x145) + 37)) / -78) % (16 % (((-48 * 36) % x595) * (-14 * -59)))) + ((-57 / -1) % 8)) + -80) - (((-15 * 30) - -51) * 12)) % (((((((x71 - 21) / 18) * (((39 + x542) + -1) - 30)) + (54 + ((42 * x591) % -53))) % 53) * ((x589 % -82) % 9)) / -47))))) + ((45 / (x117 / (((((x117 - ((-7 - x145) / (((-6 + x542) + -1) + x70))) * ((x589 + -3) * x284)) + x595) - (((17 * x506) + 9) + -44)) + (((((((-44 + (14 + -46)) / 1) * (-47 - ((45 % 83) / (42 + 18)))) % ((-12 % 68) + x284)) * x595) + (((-38 - -31) % 9) + -8)) + (((((((x71 / 50) % 21) - ((-29 % -46) / -14)) % (-27 + ((13 / -29) % -50))) + x247) + ((58 % -21) % 61)) + 9))))) + (25 / (-9 + (-21 - -21))))) + ((-22 * -41) + (-13 / -32))) - ((((-3 + (-22 + -46)) + -36) * (-47 / ((45 - x595) + (42 / -15)))) * ((-30 + -60) % x284)))
Duration;13054484
Testset error;2012.3802933227728
