Best individual;(((((30 - ((((5 - (42 % ((x313 % (30 + ((5 + x64) * (x154 * 5)))) + (x489 + (x229 * ((x346 * 5) * 68)))))) - ((-14 * 5) % (x489 + x527))) * x517) % ((30 - (((((x204 / (x229 % (x188 + -31))) * x204) / (x229 % (x188 + ((5 + x529) + 42)))) * x204) % (x489 + (x229 * (((x154 * 5) * 5) * 68))))) / (x229 % (x204 + ((((((-49 - x177) * x188) * x229) - (((x185 - x517) + x313) * x204)) * -48) * x229)))))) - ((((30 - (((((x204 / (x229 % (x188 + 18))) * x204) / (x229 % (x188 + ((5 + -30) + 42)))) * x204) % (x489 + (x229 * (((x154 * 5) * 5) * 68))))) / (x229 % (x204 + ((((((x310 - x474) * x188) * x229) - (((x12 - x517) + x313) * x204)) * -48) * x229)))) * x204) % (x489 + (x229 * (((x154 * 5) * 5) * 68))))) - ((-14 * 5) % (x489 + x527))) - ((((30 - (((((x204 / (x229 % (x188 + (42 * x229)))) * x204) / (x229 % (x188 + ((5 + (x489 + (5 * 72))) + 42)))) * x204) % (x489 + (x229 * (((x154 * 5) * 5) * 68))))) / (x229 % (x204 + (((((((5 - (x149 % x236)) - ((-14 * 5) % (x489 + x527))) * x188) * x229) - ((((5 % x554) - x517) + x313) * x204)) * -48) * x229)))) * x204) % (x489 + (x229 * (((x154 * 5) * 5) * 68))))) * (x188 + 42))
Duration;235849
Testset error;11185.59055252788
