Best individual;(((((60 % ((x478 - (-9 % ((60 % ((x478 - (-9 % ((x59 - x444) + -9))) - -31)) - ((((x279 - ((x290 * x54) + 45)) + 60) - ((x567 - x605) + -9)) % (x478 + (x605 / (((x478 + -24) + 60) - -9))))))) - -31)) + -9) % x455) + x478) * ((((60 % (((60 % ((x478 - (-9 % ((((x74 + x408) - (x478 * 33)) - x605) + -9))) - -31)) - ((((x279 - ((((x567 - x580) + -9) * ((x279 - x172) + (x227 - x553))) + 45)) + 60) - ((x567 - x605) + -9)) % (x478 + (x605 / (((x478 + (x478 * (x159 - x567))) + 60) - -9))))) - -31)) - x279) + (((60 % ((x478 - (-9 % ((((((x467 + -9) % x257) + x478) + 60) - -9) + -9))) - -31)) - ((((x279 - ((((x567 - (52 * (x345 - x238))) + -9) * ((x279 - (x257 % (x478 + x520))) + (((x478 + -57) + 60) - ((x567 - x605) + -9)))) + 45)) + 60) - ((x567 - x605) + -9)) % (x478 + (x605 / (((x478 + (x478 * (((x570 + x478) + 60) - x567))) + 60) - -9))))) + ((((60 % ((x478 - (-9 % ((((x603 + 60) - -9) - x605) + -9))) - -31)) - ((((x279 - ((((x567 - x580) + -9) * ((x279 - x172) + (x227 - x553))) + 45)) + 60) - ((x567 - x605) + -9)) % (x478 + (x605 / (((x478 + (x478 * (x159 - x567))) + 60) - -9))))) + (((x478 + (52 / (((((x455 * 29) + 60) - ((x567 - x605) + -9)) * x279) + 45))) + 60) - ((x567 - x605) + -9))) - x345))) - x345))
Duration;244536
Testset error;1943.822792690816
