Best individual;((x82 + ((((((((x445 % (((((x539 + x528) + (x32 % x549)) * ((x326 * -79) + (x270 % -76))) * -13) + x36)) - x385) * x32) * -13) / x108) + ((x143 - (((((((x445 % (x5 - x325)) + ((19 + x233) + (x518 + x131))) + 51) - ((((-35 + x5) - x576) + ((x270 % -76) - (x318 - x385))) - x398)) + ((x32 % x549) - -79)) - x385) - (x270 % -76))) + ((-40 - ((((x398 + (x82 + (x32 + (x457 + x445)))) - x608) * (5 - ((((x108 + x287) - x576) + ((x270 % -76) - (x318 - x385))) / x318))) / x318)) + (((x569 + (((((x445 % x462) - x108) + ((x32 % x549) - -79)) - -40) / x108)) + (((x445 % (((-40 * x385) * -13) + x36)) - x108) + ((x32 % ((x143 - (51 - -13)) - x576)) - -79))) + -40)))) - (5 - ((((x108 + x287) - x576) + ((x270 % -76) - (x318 - x385))) / x318))) - x131)) - ((19 + ((((x445 % ((x99 - x300) + x622)) - x108) - (x569 / (((x300 * 83) + (x10 - x151)) + ((x486 * x147) + (x318 - x385))))) / x108)) + (((x445 % (((-40 * (x610 + x528)) * -13) + x36)) - x108) + ((x32 % ((x143 - (51 - -13)) - x576)) - -79))))
Duration;233913
Testset error;9699.40435170777
