Best individual;((x358 * ((((((((((x6 * ((x6 % (-7 + x480)) * ((x87 + x333) + (-80 + x523)))) + x358) + 13) + x190) * (((x369 + 14) / (x452 + -25)) % 13)) + ((((x452 % (x480 * (((x358 + x321) / (x452 + x238)) % 13))) * 53) + (x480 * x452)) * 13)) / ((-25 + x6) + 13)) + ((((((((x6 % ((13 + x235) * (x359 % 13))) * 53) + (x480 * x452)) * 13) + x6) % x190) + (((((((x6 % (13 * x6)) * 53) + (x480 * x452)) * 13) + x6) % x190) + (((((((x6 % x80) * 53) + (x480 * x452)) * 13) + x6) % x190) + (x358 % 13)))) + x452)) + (((((((x6 % ((x358 + ((-13 + x358) + 13)) * (((x369 + 14) / (x452 + -25)) % 13))) * 53) + (x480 * x452)) * 13) + x6) % x190) + (x358 % 13))) + (((((x452 % (x480 * (((x358 + (((x358 % x6) % 13) + x6)) / (x452 + (x369 + (x190 + (x6 % x6))))) % 13))) * 53) + (x480 * x452)) * 13) + (((x480 * ((((((x460 % x209) % 13) + x6) + 13) / (x452 + (x369 + (x190 + (x6 % x6))))) % 13)) + x452) * (x480 * x452))))) + ((((((x6 % ((x358 + ((-25 + x6) + 13)) * (((x369 + 14) / (x452 + -25)) % 13))) * 53) + (x480 * x452)) * 13) + x6) % x190))
Duration;232405
Testset error;5806.435614133738
