Best individual;(((x377 * (((x253 + (((((((((x120 * x490) % (x15 + 62)) * (x466 + (x120 + x30))) * x169) + (((x377 * (x182 + x167)) % (x15 + (21 + x545))) * (((x339 + 50) * 69) / (44 * x253)))) % (x477 / (((x466 + (x120 + x30)) + x377) * x474))) + (x253 + 44)) * 69) / (44 * x253))) * ((x477 / ((((x15 * (((x548 + (x261 * x514)) + 38) + x396)) - -75) + (61 * 35)) * x474)) + 38)) + x167)) % (x15 + (21 + (x466 * x169)))) * ((((x86 % (x262 % ((x15 + (21 + (x477 / (x622 - x30)))) * x477))) + (x253 + 44)) * 69) / (44 * x253)))
Duration;253435
Testset error;2222.0904774303945
