Best individual;(((((x570 * ((((((x213 * ((((x412 + -52) + x538) + x111) + x111)) + (-52 - x494)) * (x476 % (x227 / ((((x117 + x227) + x538) * ((-52 - x494) + x117)) / 80)))) - x217) * x359) + x111)) - (((((((((((x469 * x146) / 80) * ((x75 + x34) + x476)) + x111) + x213) + ((x117 - (((-9 + x118) * (x476 % x270)) / ((-86 - x494) + x117))) + x213)) * ((-52 - x494) + x117)) + (((x494 * (x117 + ((x117 + x111) + x213))) - x494) + x117)) + x213) * (x476 % (x227 / ((((x117 + x227) + x538) * ((-52 - x494) + x117)) / 80)))) / ((-86 - x494) + x117))) - (((80 * (x217 - (x570 * -6))) * x359) - x494)) + (((x476 % (x494 - (x217 - (x570 * ((x117 + (((((x476 - 73) * x359) - x494) + x117) + x213)) + x538))))) * x213) + (x494 * (73 + (x476 % (x227 / ((((x117 + ((((35 * x359) - x494) + x117) + x213)) + x538) * ((((80 * (x217 - (x570 * -6))) * x359) - x494) + x117)) / 80))))))) + 80)
Duration;236973
Testset error;1957.837632878449
