Best individual;((((((((x264 % (((-39 * ((((x597 % -39) * (x473 % -15)) % x97) % x97)) % x97) % -39)) * x264) % x97) % -39) * x97) - ((x473 % ((((x473 % (((((x264 % (x264 % -62)) * ((x473 % -15) * (-39 * x264))) - -39) * x233) * ((((x264 % (x233 % -39)) % -5) * (x473 % -15)) % x97))) * (-39 * x264)) % x97) % -39)) * (-39 * x264))) - ((x264 % ((((x473 % ((x264 % ((((x264 % -5) * (x473 % -15)) % x97) % -39)) * ((x473 % -15) * (-39 * x264)))) * (x473 % -15)) % x97) % -39)) * ((x473 % -15) * (-39 * x264)))) - ((((-15 % ((x473 % (-39 * (((((x264 - -75) % -15) * (-39 * x264)) - (-39 * x264)) % -15))) * -15)) * (-39 * x264)) % ((((x473 % (((x97 - (61 * ((x264 % -39) * (-39 * x264)))) * x618) * (-15 % ((x473 % (-15 - (x580 * x50))) * -15)))) * (-39 * x264)) % x97) % -39)) * -39))
Duration;229455
Testset error;2083.3322082586624
