Best individual;((((((x290 - (((x1 + (((x1 * (((x186 + x290) + 56) - x1)) % x602) - (x523 * x1))) * -25) + x290)) - (((x259 - ((((((64 + (x259 % -25)) - x1) - -25) - (((x302 - (x24 - x435)) * -25) + x290)) - 56) % x178)) - (x259 - ((x290 + (64 + ((((x259 - x295) % x91) - (x57 * (87 + x6))) % -25))) * x442))) % (x172 + x290))) - ((((64 + ((((x259 - (((x501 % x602) - (x523 * x1)) - (x1 * -25))) % x91) - (x57 * ((x172 + x290) + (x1 * -25)))) % -25)) * -25) % (x259 - ((x302 - (((-25 + (x259 - ((x178 - 56) % x178))) % x91) - (x57 * ((x172 + x290) + (x1 * -25))))) % x178))) * x178)) - (x1 * -25)) - (((-25 + (x259 - (((x302 - x1) - 56) % x178))) * -25) + (x290 % (x259 - ((x302 - (((x259 - ((x290 + x157) * x442)) % x91) - (x57 * ((x172 + x290) + (x1 * -25))))) % x178))))) + (x290 - ((64 + (((x290 % (x259 - ((x302 - (((x259 - ((x290 + x157) * x442)) % x91) - (x57 * ((x172 + x290) + (x1 * -25))))) % x178))) - (x57 * ((x172 + x290) + (x1 * -25)))) % -25)) * -25)))
Duration;246000
Testset error;1982.3733348355397
