Best individual;(((((((((((x46 + (x358 * (x358 + ((x329 * x377) - (x358 * x82))))) + x377) / x240) * (x358 * x364)) + ((x102 * (60 + ((x240 + (((-48 + x391) / x377) * (x358 * x364))) + 60))) - x135)) + (((((((((x501 + x377) / (-15 / x377)) * (x358 * x364)) + ((x102 * (60 + x608)) - x135)) + (x240 + (((-48 + x391) / x377) * (x358 * x364)))) + (((-48 + x391) / x377) * (x358 * x364))) + (((-48 + x391) / x377) * (x358 * x364))) + x358) - ((x551 + x240) + (-77 + x275)))) + x286) + (((((((((x46 + (x358 * (x358 + x291))) + x377) / x240) * (x358 * x364)) + ((x102 * (60 + ((x240 + (-46 * x504)) + 60))) - x135)) + (((((((61 * x266) + (x158 - x135)) + (x240 + (x456 * 0))) + (((-48 + x391) / x377) * (x358 * x364))) + (((-48 + x391) / x377) * (x358 * x364))) + x358) - ((x551 + x240) + (-77 + x275)))) + (((-48 + x391) / x377) * (x358 * x364))) + (((-48 + x391) / x377) * (x358 * x364))) + (((((x286 + (16 * ((x11 * x39) + (x354 - -77)))) - (-77 + (x254 - (x286 * (x109 * x410))))) + x377) / ((-48 + x391) / x377)) * (x358 * x364)))) + -77) - ((x551 + x240) + (-77 + x275))) - (x46 + (x358 * (x377 + ((((x377 + (((60 + (-77 + -77)) * x393) - (((x391 + 14) + (x286 * x358)) - x236))) + x358) * x393) - (x358 * (x377 + (((60 + ((16 + ((-23 / -39) * (x358 * x364))) + 60)) * x393) - ((((((x551 + x240) + (-77 + x275)) + ((x275 + 27) + x275)) + 14) + (x286 * x358)) - x236)))))))))
Duration;227346
Testset error;9716.176487799376
