Best individual;(((((66 + (x183 + (41 / ((83 + (66 * (((((x403 + x7) + 66) / x367) - x170) / (x77 + x367)))) + x600)))) % ((((((x190 + (x183 + (x485 * (((x476 / x183) / (x407 + 66)) - x485)))) + 66) / x367) / x367) % ((x190 + (x183 + (x485 * (((41 / ((83 + x403) + x600)) / x367) - x485)))) + 66)) + (((41 / x319) / x367) * 58))) + (((((x190 + (x183 + (x485 * (((((23 - x170) / (x77 + x367)) / x183) / ((x190 + (x183 + x240)) + 66)) - x485)))) + 66) / x367) / x367) % ((x190 + (x183 + (x485 * (((41 / ((83 + ((x449 + x183) * (x35 - x183))) + x600)) / x367) - x485)))) + 66))) % ((((((x190 + (x183 + (x485 * (((((23 - x170) / (x77 + x367)) / x183) / ((x190 + (x183 + x240)) + 66)) - x485)))) + 66) / x367) / x367) % ((x190 + (x183 + (x485 * (((41 / ((83 + ((x449 + x183) * (x35 - x183))) + x600)) / x367) - x485)))) + 66)) + (((41 / x319) / x367) * 58))) + (((((x190 + (x183 + (x485 * (((((23 - x170) / (x77 + x367)) / x183) / ((x190 + (x183 + x240)) + 66)) - x485)))) + 66) / x367) / x367) % ((x190 + (x183 + (x485 * (((41 / ((83 + ((x449 + x183) * (x35 - x183))) + x600)) / x367) - x485)))) + 66)))
Duration;232791
Testset error;2131.7258304565657
