Best individual;(((((((((((x378 * ((((x471 * 18) - (41 * x332)) + (x181 - (x184 + x197))) - ((x471 + (-73 + x79)) * x332))) * (x373 / 23)) - ((x322 * (((x184 + (x197 - x335)) + ((x233 - x480) + (x279 + -13))) + (x378 + ((-61 + x572) * x90)))) * x332)) + (((((x197 + -4) + (x378 * (x471 + (x365 + -6)))) - (x197 + -4)) * x549) + (x105 - ((x322 + (x24 - (40 + (1 * x90)))) - x6)))) + (x378 * (x471 + ((((x450 * (x181 - (x184 + x197))) * x577) + x181) + (x288 + (((x406 - (x322 + x221)) + x405) + x242)))))) - (x197 + -4)) * x549) + (x105 - ((x322 + (x24 - (40 + ((-61 + (x49 - (x322 + ((x307 * x332) + -12)))) * x90)))) - x6))) + (((x181 - ((x378 * (x549 + (x181 + -2))) * x332)) - (x181 - (x373 / 23))) + ((x450 * 21) + (35 + x307)))) + ((x450 * 21) + (35 + x307))) - x181)
Duration;239353
Testset error;2234.4403154264196
