Best individual;(((((((17 + (x241 + ((((x241 + (x241 + ((x531 - x544) + 94))) + (x338 - -72)) + ((x241 * -81) + (56 - 34))) + ((x146 % (-25 * x585)) + x244)))) + (((((x241 + ((((x303 + x577) + (x338 - -72)) + ((x241 * -81) + (56 - 34))) + ((x146 % (-25 * x585)) + x244))) - (26 * -25)) * x146) + (x241 + (26 + 94))) - x624)) % (((((x241 + ((((x303 + x577) + (x338 - -72)) + ((x241 * -81) + (56 - 34))) + ((x146 % (-25 * x585)) + x244))) - (26 * -25)) * x146) + (x241 + (26 + 94))) - x624)) * (x49 % 4)) % ((((((26 * (x286 * (((((54 - -65) + (x507 - x511)) % -81) * (x49 % 4)) * x347))) + 20) - (26 * -25)) * -25) + (((x146 % (17 * (-4 * ((26 * (26 * ((x448 * 17) % x428))) + (((x491 + (x426 * -32)) + ((x241 + 20) - (26 * -25))) + ((x241 * -81) + ((x241 + 17) - (26 * -25)))))))) + x244) * x318)) * x318)) + (x585 + ((((((x585 + (((((x241 + (26 + 94)) - (26 * -25)) * x146) + (((x491 + (x523 * x347)) + ((x241 + x551) - (26 * -25))) + ((x241 * -81) + ((x241 + 17) - (26 * -25))))) - x624)) % -81) * (x49 % 4)) * x318) + ((((((x585 + (((x146 % (-25 * x585)) + x244) * x318)) * 26) % x428) * x286) + (x585 + (((26 * x146) + (((x491 + ((52 % x428) * (x49 % 4))) + ((x241 + (x585 + -24)) - (26 * -25))) + ((x241 * -81) + ((x241 + 17) - (26 * -25))))) - x624))) - (26 * -25))) - (17 + ((x138 * x302) + (x178 - -23)))))) - (x241 + (26 + 94)))
Duration;241763
Testset error;8008.635182381467
