generation;island;fitness;time
0;0;2153.8406902077177;1099
1;0;1992.026622119479;1450
2;0;1992.026622119479;1826
3;0;1910.3786411746048;2193
4;0;1872.212120090919;2557
5;0;1877.7694175943814;2939
6;0;1867.6719838565712;3318
7;0;1871.141614541488;3664
8;0;1869.6410897922806;4007
9;0;1879.9307739971684;4349
10;0;1869.4647886159623;4748
11;0;1869.6798092032093;5086
12;0;1869.6798092032093;5475
13;0;1874.3098332506986;5844
14;0;1843.2217471670074;6210
15;0;1838.0286619804428;6577
16;0;1829.264089522702;6934
17;0;1839.6146555680516;7302
18;0;1832.2971208023598;7635
19;0;1832.2105050867813;7983
20;0;1832.2105050867813;8336
21;0;1832.255404956938;8682
22;0;1832.095895447218;9053
23;0;1821.3129957728265;9426
24;0;1821.3129957728265;9774
25;0;1832.098115683478;10123
26;0;1832.098115683478;10463
27;0;1827.2095559846694;10817
28;0;1827.1605192814852;11178
29;0;1819.964391518922;11556
30;0;1819.964391518922;11923
31;0;1828.1771999773805;12252
32;0;1824.6158884503018;12627
33;0;1816.4125945157482;12976
34;0;1816.4125945157482;13337
35;0;1818.4280513711215;13696
36;0;1818.4280513711215;14055
37;0;1819.1604701471886;14423
38;0;1818.4916849826607;14774
39;0;1814.8783304197834;15144
40;0;1814.8783304197834;15520
41;0;1782.866444264731;15897
42;0;1782.866444264731;16273
43;0;1792.2992269036415;16644
44;0;1792.2992269036415;17009
45;0;1798.2268822515919;17382
46;0;1798.2268822515919;17749
47;0;1810.9262866712554;18126
48;0;1809.3957623853819;18505
49;0;1810.9800564611428;18884
50;0;1810.7355240085935;19264
51;0;1810.0331341395383;19618
52;0;1810.0331341395383;19992
53;0;1810.3295142758975;20371
54;0;1810.3295142758975;20740
55;0;1809.0298586501813;21104
56;0;1798.4970356783306;21472
57;0;1801.0529696414512;21818
58;0;1797.289653015261;22180
59;0;1807.8902079622267;22569
60;0;1801.9565775741216;22927
61;0;1801.9565775741216;23291
62;0;1796.7557369580122;23655
63;0;1805.0508257622914;24044
64;0;1795.495707662908;24405
65;0;1803.602175276455;24794
66;0;1801.8440666267368;25146
67;0;1796.6617501344983;25531
68;0;1782.7347602580865;25914
69;0;1796.65630653392;26307
70;0;1782.7347602580865;26655
71;0;1788.0374079687347;27019
72;0;1788.0374079687347;27410
73;0;1796.6673670939574;27762
74;0;1796.6573644742602;28127
75;0;1796.659326498751;28497
76;0;1777.9243410785434;28874
77;0;1776.4586908138697;29262
78;0;1773.5290065126126;29635
79;0;1775.3284169142814;30010
80;0;1774.6033500266335;30395
81;0;1774.9281618660818;30768
82;0;1774.9281618660818;31127
83;0;1774.3788423846174;31499
84;0;1774.3788423846174;31885
85;0;1774.3846354456416;32267
86;0;1774.3846354456416;32642
87;0;1775.5088899460611;33031
88;0;1774.712821380921;33422
89;0;1774.1485300247207;33818
90;0;1773.8465413319032;34211
91;0;1774.0649081572274;34592
92;0;1774.0649081572274;34971
93;0;1774.2629725788315;35440
94;0;1771.6193306894506;35813
95;0;1774.4407834108865;36166
96;0;1771.028408559341;36559
97;0;1774.1214031716488;36941
98;0;1773.881730943713;37314
99;0;1774.062545025459;37696
100;0;1773.5007167580857;38071
101;0;1774.020048180617;38440
102;0;1773.5772869246093;38834
103;0;1773.8123842823313;39231
104;0;1773.518623918804;39616
105;0;1773.5186239188047;40012
106;0;1773.5186239188047;40392
107;0;1774.223809127184;40790
108;0;1774.223809127184;41158
