generation;island;fitness;time
0;0;2179.2171774105086;1083
1;0;2125.2453553565047;1431
2;0;1985.9035246988608;1789
3;0;1876.7866046326612;2141
4;0;1876.7866046326612;2498
5;0;1872.0803661284892;2853
6;0;1872.0803661284892;3205
7;0;1871.7403131634435;3552
8;0;1871.7403131634435;3900
9;0;1882.659252779705;4234
10;0;1876.4070518401277;4600
11;0;2096.742445932836;4962
12;0;1870.5717944898395;5316
13;0;1833.9951126764988;5636
14;0;1833.9951126764988;5985
15;0;1858.4853879337593;6356
16;0;1858.4853879337593;6703
17;0;1826.6032239588112;7070
18;0;1819.1759872289724;7412
19;0;1816.0235688379062;7752
20;0;1816.0235688379062;8111
21;0;1816.1536781951245;8482
22;0;1816.1536781951245;8853
23;0;1799.7768925650648;9200
24;0;1799.028132077934;9548
25;0;1810.7959296756953;9920
26;0;1807.909312051154;10262
27;0;1810.8523517209685;10633
28;0;1810.7571030216766;11010
29;0;1809.932883754936;11382
30;0;1809.932883754936;11749
31;0;1810.0237520411367;12101
32;0;1809.9398558752616;12468
33;0;1808.4560032869688;12816
34;0;1806.69046409922;13164
35;0;1806.5639412676844;13511
36;0;1806.4961623029867;13875
37;0;1810.0185282347695;14223
38;0;1809.57942055276;14565
39;0;1797.9170318291056;14925
40;0;1797.9170318291056;15286
41;0;1809.601911801977;15651
42;0;1809.601911801977;16029
43;0;1810.1747658881152;16456
44;0;1808.8580476461411;16817
45;0;1765.2992989276609;17175
46;0;1765.2992989276609;17540
47;0;1808.5121138935326;17907
48;0;1808.3940009289493;18254
49;0;1808.662896433184;18576
50;0;1808.662896433184;18929
51;0;1810.1357414672398;19285
52;0;1804.8948166751218;19661
53;0;1801.4805824448424;20034
54;0;1801.4805824448424;20396
55;0;1801.5211566742987;20755
56;0;1800.874861828117;21111
57;0;1799.4634263582668;21480
58;0;1795.7098233006548;21875
59;0;1801.4245730371485;22271
60;0;1795.7362709326142;22624
61;0;1795.7170613991498;22995
62;0;1794.8775985009481;23354
63;0;1795.7044330534543;23698
64;0;1794.3348832147892;24066
65;0;1784.9038287403646;24435
66;0;1783.8960701537826;24815
67;0;1784.3083176684158;25163
68;0;1783.682880774765;25523
69;0;1783.5527257947965;25906
70;0;1782.8079354634801;26282
71;0;1782.9313886248626;26637
72;0;1782.5648003348995;27005
73;0;1782.8272609078272;27377
74;0;1772.6378503830313;27751
75;0;1782.5840819414398;28124
76;0;1782.3232538034292;28497
77;0;1764.8414613589716;28875
78;0;1764.8414613589716;29237
79;0;1766.8236530351246;29599
80;0;1761.539431174913;29985
81;0;1761.2588648694261;30343
82;0;1761.2588648694261;30731
83;0;1763.7949536980643;31109
84;0;1763.7949536980643;31443
85;0;1761.9285364510936;31820
86;0;1761.9285364510936;32209
87;0;1763.527524638487;32600
88;0;1761.8639316488145;32992
89;0;1762.0837865977928;33381
90;0;1760.1668639395507;33761
91;0;1759.7758198121103;34136
92;0;1759.7758198121103;34519
93;0;1761.095539961763;34904
