Best individual;((((((57 + (-46 + (((-44 + (((x5 + ((6 + x345) % x623)) * x446) - (57 - ((57 + (31 + x44)) + ((x5 + x250) * x446))))) + x32) + x319))) + 17) % (49 + (31 - ((-44 + (((x5 + (71 % (((x240 + x316) + 86) + 71))) * x446) - (57 - ((57 + (31 + ((x51 + x32) + x319))) + ((x5 + ((x79 + x81) % -38)) * x446))))) % -46)))) * (49 % (49 + (31 - ((-44 + (((x5 + (((49 + (x5 + 31)) + (57 - x81)) % x623)) * x446) - (57 - ((57 + (31 + ((x51 + x32) + x319))) + ((x5 + ((x79 + x81) % -38)) * x446))))) % -46))))) + ((x5 + x250) * x446)) + (31 - ((-44 + (((x5 + (71 % (((x240 + x316) + 86) + 71))) * x446) - (57 - ((57 + (31 + ((x51 + x32) + x319))) + ((x5 + ((x79 + x81) % -38)) * x446))))) % -46)))
Duration;241475
Testset error;2254.361291612372
