Best individual;((((((x376 + (x376 + (((36 + ((x64 + (36 + ((78 + 65) + 80))) / (((x0 + (x520 + 36)) + x240) * x335))) + ((((((-46 - x335) + (x600 + x90)) + (-40 + 36)) + (x376 + (x335 + (-40 + x78)))) / ((x383 + ((x290 + 80) / (x48 + x284))) + x195)) + 51)) / (x383 + ((x290 + (x376 + x376)) / (x48 + x284)))))) + x449) + ((x335 + (-40 + ((((x0 + ((x376 + (-40 + (x195 + x290))) + 36)) + x240) * x335) + -29))) + ((-40 + ((((((((36 + x449) - x335) + (x600 + (x64 + x427))) + (-40 + 36)) + (x376 + (x335 + (-40 + (-29 + 36))))) / ((x383 + ((x290 + (x376 + x376)) / (x48 + x284))) + x195)) + 51) + 35)) * x284))) + (x376 + (x335 + (-40 + (-29 + 36))))) - (-40 * x449)) + ((((x356 + (x101 + (((x356 + ((x383 + (x376 / -40)) + x195)) + x186) + x195))) + x186) + (x376 + x42)) / ((x383 + x119) + x195)))
Duration;244396
Testset error;2171.819811601563
