Best individual;(((((((((x595 - ((32 - ((((x595 + x276) - (3 - x536)) + (x226 * (-27 + x276))) + ((x226 * 85) - x137))) / (((3 + ((x464 * 3) - x137)) - ((x290 - (x226 * x199)) % ((x226 * 85) - x137))) / -8))) % (x226 * ((((((x83 - x463) % 32) * x139) - (3 - x536)) % 32) + x276))) - -44) + ((x595 - (x199 / (((3 + ((5 * x595) - x137)) - ((x290 - (x226 * x199)) % ((x226 * 85) - x137))) / -8))) % (x226 * ((((((x83 - x463) % 32) * x139) - (3 - x536)) % 32) + x276)))) - (x290 - 32)) + (x226 * ((((((((x495 - x62) + (70 % x109)) - (x276 - (-61 / -8))) % 32) * x139) - (3 - x536)) % 32) + x276))) + ((x226 * 85) - x137)) + ((((((x595 - (85 / (((3 + ((-55 * x557) - x137)) - ((x290 - (x226 * x199)) % ((x226 * 85) - x137))) / -8))) % (x226 * ((((((x83 - x463) % 32) * x139) - (3 - x536)) % 32) + x276))) - -44) + 85) - x595) + (x226 * ((((((((x495 - x62) + (70 % x109)) - (x276 - (-61 / -8))) % 32) * x139) - (3 - x536)) % 32) + x276)))) + ((((((x595 - ((32 - ((((x276 + x250) - (3 - x536)) + (x226 * (-27 + x276))) + ((x226 * 85) - x137))) / (((3 + ((x464 * 3) - x137)) - ((x290 - (x226 * x199)) % ((x226 * 85) - x137))) / -8))) % (x226 * ((((((x83 - x463) % 32) * x139) - (3 - x536)) % 32) + x276))) - -44) + ((x595 - (85 / (((3 + ((-55 * x557) - x137)) - ((x290 - (x226 * x199)) % ((x226 * 85) - x137))) / -8))) % (x226 * ((((((x83 - x463) % 32) * x139) - (3 - x536)) % 32) + x276)))) - (x290 - 32)) + (x226 * ((((((((x495 - x62) + (70 % x109)) - (x276 - (-61 / -8))) % 32) * x139) - (3 - x536)) % 32) + x276))))
Duration;241404
Testset error;2402.993285055799
